time	noteName	noteMIDI	noteKey	noteOctave
80.573	A	81	9	5
80.689	F	53	5	3
80.991	C	48	0	3
81.131	D	62	2	4
81.386	A#	58	10	3
81.688	A#	46	10	2
81.781	D	38	2	2
81.920	C	60	0	4
82.013	A	57	9	3
82.268	F	41	5	2
82.292	F	53	5	3
82.408	A	57	9	3
82.524	A	57	9	3
82.779	D#	39	3	2
82.895	A	57	9	3
83.104	D#	39	3	2
83.406	D	38	2	2
83.476	G	67	7	4
83.731	D#	51	3	3
83.801	F	65	5	4
84.010	D#	39	3	2
84.335	F#	54	6	3
84.405	F	65	5	4
84.497	F	65	5	4
84.776	F	65	5	4
85.008	A	45	9	2
85.124	C#	37	1	2
85.380	D#	75	3	5
85.449	D	38	2	2
85.635	F	65	5	4
85.867	F	53	5	3
85.983	F	53	5	3
86.030	D	62	2	4
86.146	F	53	5	3
86.332	F	65	5	4
86.471	D	50	2	3
86.610	D	62	2	4
86.750	F	41	5	2
86.819	A	57	9	3
87.052	F	41	5	2
87.214	E	76	4	5
87.353	E	64	4	4
87.609	F	65	5	4
87.725	F	53	5	3
88.305	F	53	5	3
88.514	F	77	5	5
88.631	F	65	5	4
88.700	C	84	0	6
88.956	G#	32	8	1
89.072	D	62	2	4
89.304	A	33	9	1
89.397	G	55	7	3
89.513	A	57	9	3
89.699	G	55	7	3
89.838	G	55	7	3
89.977	D#	63	3	4
90.279	E	64	4	4
90.326	E	64	4	4
90.535	A#	58	10	3
90.674	A	33	9	1
90.906	A#	34	10	1
91.162	F	65	5	4
91.417	F	65	5	4
91.510	A#	58	10	3
92.021	D	38	2	2
92.206	F	65	5	4
92.439	D#	63	3	4
92.717	C	36	0	2
92.764	D	38	2	2
92.996	D	74	2	5
93.275	D	74	2	5
93.321	F	65	5	4
93.623	D#	63	3	4
93.832	F#	42	6	2
93.994	B	83	11	5
94.157	E	76	4	5
94.366	B	83	11	5
94.482	E	64	4	4
94.691	F	53	5	3
94.900	C#	61	1	4
95.132	C	60	0	4
95.179	C#	61	1	4
95.411	D	62	2	4
95.597	D	38	2	2
95.666	D#	51	3	3
95.945	D	62	2	4
96.154	D	62	2	4
96.293	D	62	2	4
96.502	G	67	7	4
96.688	G	67	7	4
96.943	D#	39	3	2
97.176	G	55	7	3
97.454	D#	51	3	3
97.710	D#	51	3	3
97.849	D#	39	3	2
98.267	D	38	2	2
98.360	D#	39	3	2
98.499	F#	78	6	5
98.615	F	77	5	5
98.708	F	77	5	5
98.871	F	77	5	5
99.033	D#	63	3	4
99.219	F	65	5	4
99.312	F	53	5	3
99.474	F	65	5	4
99.660	E	64	4	4
99.730	E	64	4	4
99.915	A	69	9	4
100.008	F	77	5	5
100.055	F	65	5	4
100.287	F	65	5	4
100.473	F	65	5	4
100.705	F	77	5	5
100.751	D	62	2	4
100.914	F#	42	6	2
101.053	F	65	5	4
101.100	E	64	4	4
101.402	F	65	5	4
101.587	F	65	5	4
101.773	G	55	7	3
101.820	F	65	5	4
101.912	A	57	9	3
102.679	E	64	4	4
102.795	A	33	9	1
102.888	A#	34	10	1
102.957	F	65	5	4
103.259	D#	63	3	4
103.352	C#	61	1	4
103.584	A	57	9	3
103.724	F	65	5	4
103.933	D	62	2	4
104.025	D	62	2	4
104.165	A	81	9	5
104.443	G	67	7	4
104.490	A	33	9	1
104.792	B	35	11	1
104.954	G	67	7	4
105.163	G	79	7	5
105.372	D	62	2	4
105.535	D	62	2	4
105.628	D	62	2	4
105.837	D	62	2	4
106.255	A	81	9	5
106.371	A	81	9	5
106.463	A	81	9	5
106.580	A	69	9	4
106.672	D	38	2	2
106.951	G#	68	8	4
107.114	A	69	9	4
107.276	A	69	9	4
107.439	F	65	5	4
107.555	G	67	7	4
107.624	D	50	2	3
107.810	A	57	9	3
107.996	F	41	5	2
108.275	F	41	5	2
108.484	G	67	7	4
108.623	G	55	7	3
108.832	F	53	5	3
108.948	F	53	5	3
109.180	G	55	7	3
109.366	G	55	7	3
