MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[0.17150483151829743, 0.022360674359383416, -0.041482923967290627, 0.034891332608585096, 0.035232112348193671, -0.044682746131931253, 0.014429575910474762, -0.058020230391065027, 0.04444942840409509, -0.021165929137298339, 0.042291291039017194, 0.027227242691164767]	0.134	17.740	A	33	9	1	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]	0.776
[0.20456024065546249, 0.034868598772880399, -0.081017325770163268, 0.061705952223551491, 0.046969937902330977, -0.064471380660338848, 0.028136857417541676, -0.010916330461357997, 0.024609043849821623, -0.013006173750748517, 0.034747746251998828, -0.022950862215998617]	0.144	17.903	A#	34	10	1	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.649
[0.082382817598705083, -0.046599025038127073, -0.11246445780249671, 0.073352296031754818, 0.037191835021523754, -0.050473197787616747, 0.055132038616636549, 0.00083278811213539135, 0.059309170695453862, 0.050262789936162164, 0.076417926073309869, 0.046992910785094176]	0.159	17.972	E	64	4	4	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.601
[0.091042564794980893, -0.062008727951277078, -0.024125094263756499, 0.065943341916791062, 0.063292027966627584, 0.014124926538684508, 0.042252429196791737, -0.067199098462494833, -0.025724292620266861, 0.027192453794936889, 0.095498079696150234, 0.033463303302697658]	0.114	18.135	A	33	9	1	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.496
[0.025879468702906021, -0.030386003701042906, -0.060904587221511867, 0.070940124232827126, 0.084947256490786827, 0.088794553825389089, 0.023048593067599345, -0.036585082323922956, 0.020111640124508213, 0.044268296778210453, 0.10269135203432683, 0.064513247582436289]	0.066	18.390	D	62	2	4	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.537
[0.129025239101106, -0.10151702540404885, -0.12564926089743719, 0.021754725540754121, 0.071408321945916051, 0.066890265444385671, 0.074355448470805288, -0.037897705681627342, 0.0091536915881099828, 0.02998080302292442, 0.046643241216627947, -0.0059516215406182158]	0.067	18.483	D	62	2	4	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.540
[0.24536283551759702, -0.10768059322637941, -0.10881724372916236, 0.064885395336159432, 0.023042245813292516, 0.03828657787339744, 0.03424486993295453, -0.01910570431856547, -0.014815253913874147, 0.0064904277922966718, -0.0098299926472627929, -0.044431029416530779]	0.080	18.553	D	62	2	4	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.587
[0.00022317439424742266, -0.095391448544031227, -0.072644266976977179, 0.024971321609610742, 0.067016859231035827, 0.04054053024765835, -0.0039960735472263503, 0.010076066729742861, 0.029397929390178539, 0.036800286895971757, 0.024130768328683869, 0.0075793834978618371]	0.064	18.692	D#	63	3	4	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]	0.646
[0.094059699123214935, -0.12721681316749803, -0.060493770130660714, 0.013516327863367764, 0.088590273781594148, 0.11084151692909823, 0.0029002485710101773, -0.031681227645804347, -0.058401866376501702, 0.064101817026704477, 0.069799844653247109, -0.021203604299650351]	0.069	18.971	D#	63	3	4	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.764
[0.040494010111427774, -0.11030123368948321, -0.025440625551882659, 0.030549631789881369, 0.087682925980989201, 0.018265683295862395, -0.018620926805329625, -0.044623577340770375, 0.0090280416749966095, -0.0096235256636175437, 0.018079075831976422, -0.04094626051475253]	0.080	19.040	F	65	5	4	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.515
[0.17067480137039687, -0.060374334476538873, -0.077138605400247445, 0.041259506817521788, 0.011243760075287655, -0.01403969108290642, -0.041989369931410739, -0.10170677798414231, -0.033919523998755259, 0.027028397677338223, 0.0052345997865103217, 0.016457598628110217]	0.751	19.342	D	62	2	4	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.346
