time	chordName	chordKey	chordMode	chordNotes
39.636	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
39.776	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
39.845	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
39.985	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
40.147	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
40.496	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
40.658	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
41.169	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
41.239	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
41.424	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
41.564	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
41.726	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
41.866	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
42.075	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
42.167	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
42.376	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
42.493	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
42.632	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
42.701	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
42.934	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.282	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.421	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.514	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.723	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
43.909	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
44.071	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
44.280	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
44.536	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
44.745	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
44.907	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
45.116	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
45.140	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
45.256	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
45.372	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.022	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.138	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.347	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
46.463	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.649	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
46.928	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
47.137	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
47.392	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
47.485	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
47.787	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
47.972	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
48.112	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
48.344	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
48.437	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
48.715	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
48.762	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
48.901	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
49.041	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
49.203	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
49.482	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
49.691	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
49.900	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
50.039	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
50.271	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
50.434	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
50.689	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
50.921	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
50.991	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
51.130	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
51.339	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
51.618	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
51.757	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
51.966	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
52.198	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
52.291	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
52.361	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
52.663	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
52.733	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
52.825	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
53.127	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
53.197	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
53.406	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
53.499	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
53.824	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
54.033	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
54.079	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
54.404	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
54.451	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
54.683	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
54.846	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
54.915	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
55.124	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
55.449	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
55.774	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
55.867	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
56.123	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
56.378	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
56.424	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
56.703	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
56.819	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
56.959	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
57.121	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
57.330	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
57.493	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
57.609	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
57.887	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
58.096	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
58.143	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
58.421	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
58.584	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
58.886	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
59.025	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
59.141	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
59.397	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
59.443	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
59.606	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
60.070	C	0	1	[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]
60.209	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
60.372	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
60.465	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
60.720	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
60.836	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
61.092	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
