time	MFCC
22.314	[-0.052529879752393177, -0.14325319263720848, -0.072334024500018274, -0.021258254529858384, -0.073113371203924318, 0.020364074480193114]
22.454	[0.039664421948317694, -0.21756856887055034, 0.0068048482828706684, 0.090922980772261408, 0.046397657174969305, 0.048746399204868313]
22.570	[-0.059912708483765467, -0.087941476620184755, -0.080627798601726808, 0.0018937275894553331, 0.03667661728704865, -0.0082035803752308969]
22.802	[-0.062156112271189716, -0.15063344568885292, -0.022316624693636912, -0.0074996161240066962, -0.023571015748660884, 0.026489690858859351]
23.011	[0.070816538951347152, -0.082889057873658176, 0.02263668374434399, -0.010111782386424037, -0.056883012469536753, 0.018023431070174661]
23.174	[0.14044328128673497, -0.16234926413759987, 0.032356242189011265, 0.028821529167188508, -0.12816663247813229, -0.029779741470938596]
23.359	[0.067880161405505166, -0.11547171904685961, -0.0091259237863656421, 0.003160336060894579, -0.068746371836288539, 0.0030856180342117533]
23.615	[0.051061180436894824, -0.16600298197062627, -0.067287382101286805, -0.048976807946434449, -0.031427321948266196, 0.024642136440432637]
23.824	[0.18482587957892696, -0.29144170464830488, -0.12039734002475103, -0.04088894859808271, -0.098315492684611691, 0.042813071899881941]
23.940	[0.026022041474722146, -0.14359638212285578, -0.071256972041451719, -0.035567076492043083, -0.05356108182774675, 0.029766768399510101]
24.102	[0.0067402588561715363, -0.14810736910811942, -0.1289859205607114, -0.048053665102523818, -0.022735815343431803, 0.0050826732448536862]
24.358	[-0.072269042988770835, -0.22093436603316985, -0.1391784920529977, 0.018272470052255498, 0.0097116145924018033, -0.024879190726386041]
24.567	[-0.11736118616121959, -0.2772593547676519, -0.13491461897010906, -0.0708106231820569, -0.021826231113751458, 0.032431230648978064]
24.776	[0.062377034976308726, -0.014835254095901572, -0.031944250457632745, -0.0030459959003827446, 0.0028389920924723222, 0.0039964244030642566]
24.985	[0.16931438570052623, -0.021837929863855941, -0.0069297384869837038, -0.0029331501111503778, -0.0038742091900105862, -0.014368954293350177]
25.217	[0.12937167110721226, -0.071014509122061378, -0.047054548408545185, 0.056951041341070395, -0.00044443761698228086, 0.03443622981568091]
25.449	[0.38042219492311219, -0.1579888344388696, -0.022363634164252827, 0.020534010127241063, 0.017803627281011966, 0.038047461085600552]
25.612	[0.33387772184193903, -0.037705560108725722, -0.11566211504218488, -0.014405951127516872, 0.075955454413881671, 0.056294942685241732]
25.658	[0.11803442389004598, 0.013025547786345191, -0.069558573851769612, -0.016025722185596801, 0.09325749313972756, 0.081077918357183421]
25.751	[0.19962901591289989, -0.045657122169054695, -0.074442779625181907, 0.032436685697234922, 0.10279129876890239, 0.094643163907030051]
25.867	[0.070395496116415546, -0.034722733207823944, -0.044398956665723209, 0.0035491248245567274, 0.02367634058656197, 0.0062507809345437619]
26.076	[0.21981126267333737, -0.069919182719488215, -0.073901730171720442, -0.021099018860385524, -0.041619580005275762, -0.036302582240071497]
26.215	[0.21240654165081807, -0.024317614420530792, -0.04318559068161882, 0.025293570113984327, -0.015656569880660186, -0.01564823787560234]
27.005	[0.25917208265942648, 0.057059519420781878, 0.028078507313592443, 0.004548662725539482, -0.014122008984006718, -0.017137958487922739]
27.353	[0.11461058392940067, 0.033466887130029627, 0.012082720913667324, 0.010009964746842836, -0.031067035440293277, -0.062491452698994171]
27.446	[0.18170601756014149, 0.096275389489256888, 0.022975045028526521, 0.018362168104238966, 0.028267096837785468, -0.00025041731116804463]
27.516	[0.14111714790621396, 0.050380913342517812, -0.023577030415770975, -0.027270444618555274, 0.018277652341175885, 0.042100618869395305]
27.678	[0.117355230596317, 0.0074210454505051525, -0.042104917243082143, 0.00019627161958411598, 0.029040037952726531, 0.04026476225469347]
27.771	[0.16120380920987243, 0.023989612082867547, -0.054606893808051629, -0.03906119671295856, -0.0016975846292254205, 0.063659149228782325]
27.934	[0.18821637152487725, 0.082356692223532382, -0.13222014006391042, 0.04496157062361647, 0.055368718546361717, -0.0083662842871656418]
28.282	[0.18814848608636869, -0.028834453202331738, -0.050740352149176673, 0.055734783022416037, 0.043792422192772636, 0.025236321358340912]
28.375	[0.035048193307947478, -0.064617959455120833, -0.01062095586669023, 0.052741241887590676, 0.05207723724568155, -0.0078686253234988447]
28.584	[-0.072201322939029408, -0.097738534773329042, -0.021240953883876233, 0.059123700907553013, 0.053277827903989126, 0.00091060343539339978]
28.793	[-0.081318438323170969, -0.042459860413127798, 0.02999075950553013, 0.05389860459379147, 0.014785891510922609, -0.031691769272594476]
28.979	[-0.015348077444580034, -0.050384609652186073, -0.0071725356002896277, -0.016538454410321167, -0.010241357862035729, 0.045084836838080941]
29.211	[0.11527509021715304, -0.12598370814786991, -0.047757286481530006, -0.03416043449648469, -0.018125924695776702, 0.023124511178110912]
29.396	[0.19704540472285839, -0.23800851681926036, -0.046938195907030675, -0.048997995177608729, 0.018750059286932845, 0.058260098446816268]
29.513	[-0.052971310672309667, -0.1207658862418827, -0.045287344343844703, -0.028948592066258872, -0.010362306559612639, -0.013237122497826289]
29.745	[-0.013880119378707209, -0.12176272748518843, -0.060188937194926767, 0.00050439782533322241, -0.016250869587933113, -0.0020850008306496567]
29.931	[0.076858423552965308, -0.080936481603141999, -0.068916559591416529, 0.071621659908165353, -0.0085375401178463522, -0.031679050575236477]
30.093	[0.12389116998863831, -0.044632655704844981, 0.028249043911026433, -0.011322347991511914, -0.0013911120990947436, -0.080318896395016895]
30.163	[0.10504933322482132, -0.073447248737870854, 0.0039099024586599805, 0.03463849365913705, -0.0035690366312199242, -0.014232928217054231]
30.418	[-0.00087712229765176373, -0.064808681260344933, 0.036024042014480437, -0.012914308620123256, -0.032559286902819937, -0.00066612477915661068]
30.720	[-0.036559008372219128, -0.18237466843930769, 0.0061015315967390283, -0.033643351661968288, -0.098623892180666861, 0.013594058386362694]
30.883	[-0.025910170109360278, -0.15561302139460523, -0.10905074096180659, -0.029852828351319003, 0.0039380936846964308, 0.0014431857848439121]
31.022	[-0.020155259634331762, -0.2214851413834785, -0.12726642147080172, -0.067882653571979062, 0.004225749052530689, 0.013652872595387533]
31.115	[0.11136468948081514, -0.23006237598328053, -0.14763419057162247, 0.044566391581381544, -0.05098103092352773, 0.015054873904044348]
31.254	[-0.041471956143378973, -0.31665386290625319, -0.29411487923360757, -0.017219562969592952, -0.13305471027656526, 0.08524687729150722]
31.347	[0.018476292034166356, -0.13561413966630043, -0.21613514276310486, -0.015174150985345804, -0.029541411710629968, -0.0065184050187446236]
31.858	[0.31461566722159223, -0.04497621357984341, 0.073686106475414431, 0.00074044661291561753, -0.076723456788700115, -0.058551408046674892]
31.904	[0.042184211025120225, -0.02343245711542551, 0.059840465951852051, 0.0076006476502054176, -0.049660702650423945, -0.021668485592875118]
32.044	[0.024751866068202788, -0.041645194851062897, 0.056084395547545143, 0.072071380288921655, -0.0036365184968739734, 0.049572078397900711]
32.253	[-0.0037393018947529302, -0.085475154210084003, 0.032204385800403662, 0.09213532154653413, -0.04207393165423326, 0.057503375445525723]
32.392	[0.046132076472108596, -0.129891305113181, -0.010973420457730544, 0.077577830594075872, 0.0054031684315695378, 0.03234861752246717]
32.694	[0.23874359373855103, -0.17562356709297847, -0.01554271671285865, -0.027856181535735262, 0.030464426925920298, 0.11696362700930577]
32.717	[0.045593447050158713, -0.08877992125036227, -0.042423110687854607, -0.0058272679618433252, -0.0326777321136002, 0.050229960187139183]
33.019	[0.11249327985693902, -0.089215287696298884, -0.078078481286944251, 0.025122157816067758, 0.048854529955528719, 0.039403739113857368]
33.065	[-0.10417631989242224, -0.081059529022277393, -0.061878805563522321, 0.0066515261906954677, 0.020474863465101734, 0.036895915143118935]
33.228	[0.17794206540129962, -0.17065529553425238, -0.093440579413180069, 0.077157200530693915, 0.067308771601844661, 0.0090796633437118194]
33.297	[0.063132219666114611, -0.093064728841236552, -0.10266268004800561, 0.082352526685993466, 0.036609350382743829, 0.0054616877924453773]
33.622	[0.2833525362945456, 0.062810186163793899, -0.0098857131619142641, 0.041914584432942451, 0.014298359404003364, -0.057875828193962621]
33.669	[0.079307992557044779, -0.00045092565664805795, -0.0034363035002080286, 0.054534635064018747, 0.062417978237024545, 0.0023152459617348307]
33.831	[0.35291896717403376, 0.027587681993598935, -0.043553245978238606, 0.31346280471927351, 0.1358682094340771, 0.048460030339888181]
33.901	[0.19116409495956418, 0.038194222858001996, -0.076726805538362489, 0.11100476908594775, 0.12146743827246551, -0.022934787696617921]
34.180	[0.037361881150694089, -0.05230633295189524, 0.0031646701114626018, 0.064300425628755306, 0.099185256060844898, 0.0040779950290809764]
34.342	[-0.0058160587954469807, -0.066891445643854019, 0.0019379722833017627, 0.052958951112284637, 0.04791011124533958, -0.012554522468134469]
34.644	[-0.025485548509524777, -0.11174769912854086, -0.076188065812370157, -0.0038481019456907857, 0.020061913524546709, 0.017927155967806016]
34.807	[0.15673815070542757, -0.079239105567529278, -0.096616163387098622, -0.038195519126652401, 0.050868892278072418, 0.044393029496797506]
35.016	[0.2333108987088357, -0.17022699907460384, -0.1161648600251429, 0.025331084409938826, 0.061009155933737874, -0.0036890151715710797]
35.364	[0.098868177983188157, -0.0036275645760868022, 0.03848104038182764, 0.075882951045104299, 0.027590671488266737, -0.027902877976597067]
35.434	[0.14375480907751295, -0.012224159962503395, -0.035492677482120594, 0.023921601417635458, 0.035632432891979662, -0.044474585416693004]
35.573	[-0.018167733184584148, -0.063116763455257144, -0.016130281511564957, 0.010469912605367159, 0.028909262182625194, -0.031880504293681722]
35.805	[0.20697051625475768, 0.11864233296151599, -0.1175994347368981, 0.12030991170517358, 0.080370978811897129, -0.097580848679511667]
35.852	[0.091193747814593745, -0.0034169861705657463, -0.12098657080611486, 0.040783861877477921, 0.027294208819270145, -0.020334599846574]
36.130	[0.025838047728939842, -0.25876377159901837, -0.25135144568976597, -0.055531864251949996, 0.052712165168769552, -0.10643887636345677]
36.200	[0.19459397963777236, -0.12595869970279336, -0.078777353079746981, -0.0030839741579604535, 0.047456692286370228, 0.0047801488432215374]
36.316	[0.13496218178696623, -0.18379572009335071, -0.13659575232869187, -0.0035989552391996046, -0.0045594764628423433, -0.05159765113354664]
36.455	[0.056605776991464012, -0.093215429395885896, -0.076633068575679267, -0.056308333221492181, 9.9769302470000706e-05, -0.043557862381130311]
36.688	[0.048494002221013716, -0.12950196276246437, -0.089414458546259054, -0.016471961391411521, 0.018234677066100168, -0.042921436951331368]
36.989	[-0.08041078089618689, -0.17177669146366362, -0.063027682428442144, -0.033180515044353161, -0.021080278738063653, -0.032407746089335727]
37.129	[0.2314370541022315, -0.056650251377648446, 0.085735813198841063, -0.014416345488046963, -0.026712172405272391, 0.036809184640295929]
37.245	[0.075211535770356885, -0.054891679244090823, 0.04574460939753508, 0.0018187261431148634, -0.024382331067646878, 0.0018198905359074402]
37.523	[0.044102487988652322, -0.1234481122750011, 0.021234885183842152, -0.032351341523841171, -0.066657110526271712, 0.021050261186863459]
37.686	[-0.097671756508226432, -0.065592090495434685, 0.013953578057494526, -0.057459705235258604, -0.051622122838218105, -0.0062636351942837688]
37.756	[-0.045846664314868495, -0.12025164846639032, -0.028526270536225383, -0.020160870971663542, -0.024914835063255293, 0.0049981339948198958]
38.034	[0.053417737581593377, -0.12899664925705534, -0.067872167548549453, -0.067556540090126127, -0.005736145295691472, 0.013179591659803005]
38.127	[0.12742534988201287, -0.15038470411673249, -0.10132564009907877, -0.027533788315102319, 0.017691428024433582, -0.016249731918099843]
