time	chroma	timbre	dB
9.629	[1.0, 0.996, 0.32, 0.189, 0.169, 0.168, 0.463, 0.461, 0.805, 0.812, 0.921, 0.095]	[36.772, 80.342, -23.048, -35.539, 5.806, -20.345, 59.99, 6.447, -20.389, -19.937, -1.446, 16.993]	-27.459
9.748	[0.356, 0.188, 0.483, 0.281, 0.266, 0.362, 0.917, 1.0, 0.632, 0.439, 0.296, 0.347]	[39.848, 104.569, -33.347, 38.825, -14.459, -12.804, 46.862, -24.22, -0.129, -15.25, 4.921, 14.214]	-23.845
10.200	[0.262, 0.71, 0.836, 1.0, 0.592, 0.146, 0.06, 0.102, 0.085, 0.158, 0.259, 0.24]	[38.539, 88.658, 7.934, -47.926, -17.332, -22.548, 34.714, 37.608, -1.007, -14.791, -25.833, 19.545]	-25.288
10.385	[0.784, 1.0, 0.168, 0.078, 0.221, 0.222, 0.395, 0.392, 0.494, 0.51, 0.547, 0.035]	[40.44, 59.428, 18.523, 6.722, 10.159, -17.035, 54.24, 2.953, -12.925, 31.741, 14.376, 15.677]	-24.823
10.519	[0.811, 1.0, 0.095, 0.078, 0.105, 0.109, 0.188, 0.186, 0.182, 0.187, 0.388, 0.034]	[40.7, 110.621, 5.223, 117.594, -31.988, -93.092, -10.141, 3.739, -10.34, -2.541, -23.702, 1.664]	-21.579
10.652	[0.629, 0.25, 0.226, 0.114, 0.053, 0.057, 0.16, 0.237, 0.472, 0.514, 1.0, 0.038]	[34.3, 132.592, 52.567, -9.227, 55.757, -46.059, 35.114, -35.216, -31.712, 24.294, -16.598, 15.059]	-28.676
10.763	[0.022, 0.05, 0.422, 1.0, 0.194, 0.04, 0.038, 0.049, 0.039, 0.046, 0.083, 0.047]	[40.578, 104.975, -22.825, 43.527, 11.286, -32.313, 2.513, -10.871, -25.543, 51.944, 1.13, 11.797]	-26.492
11.151	[0.679, 1.0, 0.143, 0.169, 0.179, 0.156, 0.225, 0.226, 0.277, 0.283, 0.399, 0.038]	[37.587, 60.084, -24.393, -19.572, -15.81, -30.737, 37.116, -30.051, -48.883, 32.179, 14.425, 7.426]	-30.150
11.263	[0.041, 0.186, 0.34, 1.0, 0.314, 0.016, 0.015, 0.036, 0.007, 0.067, 0.251, 0.019]	[40.974, 107.407, -44.686, 21.292, -10.655, -65.704, 35.671, -27.512, -25.265, 17.854, -8.539, 13.712]	-23.094
11.518	[0.825, 1.0, 0.136, 0.172, 0.231, 0.208, 0.326, 0.33, 0.408, 0.416, 0.59, 0.08]	[42.648, 111.641, -9.049, 76.773, -35.4, -71.12, -25.393, 8.816, -18.053, 12.787, -24.507, 5.473]	-24.378
11.626	[0.517, 1.0, 0.98, 0.984, 0.654, 0.653, 0.058, 0.066, 0.225, 0.228, 0.611, 0.341]	[38.097, 129.721, -36.888, -64.508, -21.814, -28.968, 16.407, -14.06, 11.55, 0.506, -5.643, 7.212]	-24.363
11.709	[0.317, 0.426, 1.0, 0.86, 0.382, 0.378, 0.324, 0.336, 0.315, 0.408, 0.483, 0.362]	[39.063, 156.774, -4.593, -11.192, -9.314, -32.611, 8.7, 32.212, 10.775, -7.761, -19.686, 5.675]	-21.278
12.098	[0.142, 0.172, 0.58, 0.741, 0.239, 0.238, 0.221, 0.972, 0.226, 0.309, 1.0, 0.459]	[33.446, 223.107, 97.861, -10.271, 75.099, -24.597, -36.546, -12.069, -12.146, 7.158, -3.338, 20.555]	-27.984
12.260	[0.194, 0.166, 0.507, 0.543, 0.259, 0.244, 0.2, 0.352, 0.206, 0.356, 1.0, 0.383]	[36.027, 226.685, 91.0, 47.198, 67.537, -35.091, -44.229, -34.494, -36.439, 9.9, 1.942, 24.92]	-26.374
12.371	[0.092, 0.089, 0.489, 0.261, 0.093, 0.096, 0.084, 0.426, 0.067, 0.187, 1.0, 0.179]	[35.605, 183.88, 122.14, 17.762, 73.779, -22.256, -37.979, -12.674, -17.075, -6.24, 5.499, 22.893]	-26.620
12.504	[1.0, 0.403, 0.091, 0.071, 0.162, 0.152, 0.374, 0.37, 0.684, 0.685, 0.972, 0.176]	[42.404, 107.767, 3.892, 91.87, -0.653, 12.428, -9.205, -1.47, -31.007, 47.713, 13.3, 15.776]	-25.940
12.650	[1.0, 0.709, 0.014, 0.011, 0.012, 0.013, 0.018, 0.032, 0.223, 0.226, 0.714, 0.012]	[37.789, 100.633, -20.123, -23.804, -17.085, -32.802, 55.243, -11.995, -34.676, 12.921, 1.353, 28.328]	-24.959
12.765	[1.0, 0.685, 0.021, 0.017, 0.013, 0.015, 0.012, 0.023, 0.147, 0.15, 0.651, 0.013]	[40.216, 118.396, -19.789, 1.425, -16.309, -68.848, 51.725, -46.415, -36.711, 23.804, -10.272, 36.921]	-23.418
12.890	[0.187, 0.09, 0.067, 0.072, 0.049, 0.231, 0.051, 0.053, 0.034, 0.304, 1.0, 0.657]	[38.708, 34.382, -17.134, 17.905, -25.825, -38.663, 11.606, 40.307, -11.011, 0.809, -7.191, 8.163]	-21.539
13.210	[0.245, 0.267, 0.161, 0.191, 0.139, 0.449, 0.151, 0.18, 0.311, 0.703, 1.0, 0.936]	[39.014, 90.032, -5.004, -39.965, -27.684, -4.62, 41.167, 15.772, -25.292, -19.623, -22.225, 15.655]	-24.806
13.514	[0.563, 0.149, 0.067, 0.07, 0.06, 0.066, 0.342, 0.339, 0.848, 0.859, 1.0, 0.034]	[41.672, 103.056, -18.316, 111.792, -25.789, -67.783, -15.102, -0.093, -11.119, 2.374, -34.341, 0.579]	-22.304
13.627	[0.458, 0.814, 0.712, 0.705, 0.652, 0.654, 0.986, 1.0, 0.965, 0.964, 0.634, 0.258]	[36.354, 92.986, -44.042, -55.213, -5.967, -6.202, 31.91, -1.387, -28.424, -15.497, -4.715, -13.99]	-28.211
13.715	[0.122, 0.072, 0.154, 0.119, 0.553, 1.0, 0.307, 0.136, 0.102, 0.084, 0.094, 0.144]	[38.758, 91.669, -17.249, -21.297, -29.953, -1.071, 22.577, 4.739, -25.801, -22.521, -30.737, 8.032]	-23.433
14.199	[0.451, 0.894, 0.555, 0.792, 0.916, 1.0, 0.936, 0.376, 0.129, 0.121, 0.265, 0.406]	[39.143, 97.803, 25.478, -50.263, -40.295, -16.137, 40.632, 17.776, -27.527, -27.362, -12.538, 19.683]	-24.240
14.402	[0.731, 1.0, 0.142, 0.164, 0.173, 0.147, 0.216, 0.217, 0.263, 0.265, 0.428, 0.052]	[40.749, 58.853, -14.469, -16.143, -27.252, -35.99, 13.072, 4.907, -38.611, 16.853, 0.496, 5.917]	-22.251
14.508	[0.41, 1.0, 0.357, 0.355, 0.355, 0.346, 0.159, 0.154, 0.088, 0.1, 0.082, 0.068]	[41.163, 116.661, -14.254, 114.405, -40.341, -36.819, -3.131, 10.198, -16.799, -3.904, 2.515, -5.79]	-20.840
14.652	[0.396, 0.459, 0.566, 0.384, 0.16, 0.232, 0.106, 0.229, 0.122, 0.391, 1.0, 0.131]	[34.482, 176.515, 117.829, 6.654, 37.18, -18.057, 13.939, -17.581, -69.386, -4.031, -7.867, -12.52]	-28.694
14.751	[0.065, 0.178, 0.161, 1.0, 0.18, 0.034, 0.031, 0.041, 0.012, 0.047, 0.27, 0.057]	[39.958, 134.277, 9.766, 29.632, 5.66, 8.855, 18.18, -27.463, -40.642, 25.61, -3.505, 16.132]	-25.949
15.122	[0.272, 0.417, 0.099, 1.0, 0.795, 0.104, 0.084, 0.082, 0.091, 0.098, 0.199, 0.082]	[35.914, 73.53, -32.081, -45.659, -10.47, -12.699, 11.058, -10.177, -28.147, -35.457, -2.133, -1.957]	-27.969
