time	ZC
162.006	0.217
162.029	0.177
162.261	0.153
162.516	0.240
162.772	0.329
163.004	0.142
163.260	0.164
163.352	0.212
163.538	0.217
163.747	0.317
163.770	0.262
164.003	0.139
164.258	0.175
164.513	0.131
164.769	0.235
165.001	0.135
165.256	0.414
165.280	0.174
165.512	0.118
165.767	0.309
165.999	0.174
166.278	0.241
166.510	0.207
166.766	0.261
166.998	0.209
167.021	0.202
167.277	0.152
167.532	0.239
167.764	0.235
168.020	0.133
168.252	0.185
168.507	0.104
168.530	0.121
168.763	0.276
169.018	0.113
169.250	0.202
169.529	0.052
169.761	0.242
170.017	0.124
170.063	0.166
170.272	0.161
170.574	0.124
170.760	0.256
171.015	0.137
171.270	0.141
171.526	0.054
171.572	0.110
171.758	0.530
171.781	0.324
172.013	0.127
172.269	0.191
172.524	0.107
172.756	0.242
173.012	0.097
173.267	0.251
173.500	0.150
173.569	0.128
173.755	0.293
174.010	0.164
174.266	0.244
174.521	0.058
174.568	0.161
174.753	0.300
175.009	0.289
175.032	0.234
175.264	0.164
175.520	0.109
175.752	0.407
176.007	0.087
176.263	0.184
176.518	0.114
176.750	0.369
176.774	0.243
177.006	0.104
177.261	0.206
177.517	0.143
177.772	0.410
177.888	0.164
178.004	0.110
178.260	0.799
178.283	0.099
178.515	0.098
178.770	0.263
179.003	0.101
179.258	0.140
179.513	0.148
179.769	0.296
180.001	0.241
180.024	0.114
180.257	0.171
180.512	0.093
180.767	0.237
181.000	0.091
181.255	0.223
181.510	0.313
181.534	0.061
181.766	0.323
182.021	0.081
182.253	0.195
182.509	0.111
182.764	0.336
183.020	0.199
183.252	0.378
183.275	0.133
183.531	0.115
183.763	0.344
184.018	0.069
184.250	0.180
184.506	0.130
184.761	0.803
184.784	0.204
185.017	0.110
185.249	0.244
185.504	0.092
185.760	0.295
186.015	0.161
186.061	0.165
186.270	0.240
186.456	0.175
186.526	0.114
186.758	0.277
187.014	0.142
187.269	0.145
187.524	0.056
187.571	0.111
187.757	0.360
188.012	0.137
188.058	0.128
188.267	0.224
188.523	0.133
188.755	0.218
189.010	0.099
189.266	0.249
189.521	0.070
189.637	0.165
189.753	0.402
189.777	0.260
190.009	0.144
190.264	0.232
190.520	0.142
190.752	0.282
191.007	0.220
191.263	0.311
191.309	0.141
191.518	0.108
191.750	0.352
192.006	0.089
192.261	0.187
192.517	0.106
192.772	0.227
193.004	0.269
193.027	0.077
193.260	0.199
193.515	0.150
193.771	0.312
193.887	0.182
194.003	0.108
194.258	0.163
194.514	0.086
194.560	0.112
194.769	0.276
195.001	0.108
195.257	0.156
195.512	0.114
195.767	0.281
196.023	0.114
196.255	0.262
196.394	0.143
196.510	0.103
196.766	0.242
197.021	0.096
197.254	0.211
197.509	0.109
197.764	0.277
197.997	0.229
198.020	0.114
198.252	0.203
198.507	0.106
198.763	0.325
199.018	0.210
199.250	0.133
199.506	0.309
199.529	0.147
199.761	0.306
200.017	0.138
200.272	0.214
200.504	0.112
200.760	0.235
201.015	0.177
201.062	0.141
201.271	0.244
201.526	0.084
201.642	0.267
201.758	0.346
201.898	0.304
202.014	0.246
202.269	0.283
202.524	0.177
202.757	0.454
202.780	0.281
203.012	0.153
203.267	0.180
203.569	0.207
203.755	0.277
204.011	0.128
204.266	0.205
