time	noteName	noteMIDI	noteKey	noteOctave
129.010	B	35	11	1
129.265	G#	80	8	5
129.498	D	62	2	4
129.521	B	35	11	1
129.753	A#	70	10	4
129.892	C#	37	1	2
130.009	A#	34	10	1
130.264	D#	39	3	2
130.519	A	33	9	1
130.752	D	38	2	2
131.007	F	41	5	2
131.030	C	36	0	2
131.262	F#	78	6	5
131.518	G#	80	8	5
131.750	A	93	9	6
132.005	C#	37	1	2
132.261	C#	73	1	5
132.516	D	74	2	5
132.748	F	29	5	1
132.772	B	35	11	1
133.004	F#	30	6	1
133.259	F	29	5	1
133.515	F	41	5	2
133.584	A#	34	10	1
133.770	A#	46	10	2
134.002	C	36	0	2
134.258	F	77	5	5
134.374	G	79	7	5
134.513	G	79	7	5
134.769	F	77	5	5
135.001	G	79	7	5
135.256	F#	42	6	2
135.512	C	36	0	2
135.767	C	48	0	3
135.999	C	48	0	3
136.022	A#	34	10	1
136.231	F	41	5	2
136.255	B	35	11	1
136.510	D#	39	3	2
136.766	E	52	4	3
137.021	D	38	2	2
137.253	F#	30	6	1
137.509	A	57	9	3
137.532	D	38	2	2
137.764	A#	58	10	3
138.019	C#	37	1	2
138.275	D#	39	3	2
138.507	A#	34	10	1
138.762	G	79	7	5
139.018	C#	37	1	2
139.250	F	29	5	1
139.273	A#	34	10	1
139.529	C#	37	1	2
139.761	A	81	9	5
140.016	C#	37	1	2
140.249	B	35	11	1
140.504	F#	30	6	1
140.759	A	45	9	2
140.899	G#	32	8	1
141.015	C	36	0	2
141.270	A#	70	10	4
141.526	C	36	0	2
141.758	C	36	0	2
142.013	F	29	5	1
142.269	C	72	0	5
142.292	D#	39	3	2
142.524	D#	39	3	2
142.756	D#	39	3	2
143.012	B	35	11	1
143.267	C	36	0	2
143.523	A	45	9	2
143.569	A#	34	10	1
143.755	C	60	0	4
144.010	F	53	5	3
144.033	G#	32	8	1
144.266	C	36	0	2
144.567	G	31	7	1
144.753	C	36	0	2
145.009	G	43	7	2
145.264	F#	42	6	2
145.519	B	35	11	1
145.752	A	69	9	4
145.891	C#	37	1	2
146.007	A#	34	10	1
146.262	D#	39	3	2
