MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[0.092444124570127711, 0.12113568553971493, 0.070672792868388803, 0.005459834657325433, -0.04046594608839358, 0.032837125888005511, -0.026171164952412673, -0.0036090919577905097, 0.014517997607623822, -0.028176634327451697, -0.020266490155213333, -0.019666607581973222]	0.340	9.752	C	36	0	2	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]	0.211
[-0.12808059246202955, 0.075795819051190899, 0.10318409582755161, 0.017851054037266494, 0.079316318950621009, -0.048894710641515786, 0.024912262719811867, -0.017699060879783013, -0.023550734266103317, -0.02678458617941246, -0.059856390839468331, -0.086606366599191353]	0.382	10.008	D#	39	3	2	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.159
[0.10618972340557876, 0.15165608941195752, -0.010843490736176241, 0.011236133027663058, -0.021873292300767781, 0.025220315571008903, 0.0062534677595618132, -0.026047877581539241, 0.023375146082949879, 5.6043624271384273e-05, -0.03977624771430862, 0.019165162163167736]	0.176	10.263	D#	39	3	2	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.216
[0.13229521357972873, 0.17695838295109539, 0.072481571312811258, -0.037760197015056791, 0.013527718803396281, -0.025009916432145198, 0.010776863318752177, 0.037822592697278383, -0.0058444794787738032, -0.013392831874141954, -0.032788745349285227, -0.017042912360690242]	0.436	10.635	B	47	11	2	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.222
[0.10040467882264958, 0.083373029436047033, 0.018917671356104102, -0.003712081421594291, -0.055562930165855715, -0.015742734013158496, -0.042915502275502303, -0.023382198686691606, 0.0080728148069242819, -0.048077305982349959, -0.019570292817742082, -0.0056130538959089727]	0.259	10.751	D	38	2	2	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.206
[-0.053604514436604481, 0.084097246452865718, 0.077597683639146833, 0.039121478168058194, 0.04206160914888956, -0.07848985468972404, -0.023023254797926593, 0.002495959982207654, -0.0064978649442576312, 0.010981443017493868, -0.043748486382719658, -0.026055131222604697]	0.226	11.006	C#	37	1	2	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.206
[-0.013519115226357402, 0.1623457899806976, 0.030059222218809266, -0.014693566638786992, -0.010412647177150753, -0.041280722039427807, -0.0088562607209890093, -0.021418448421058531, 0.0046882731475597871, -0.053399903100124844, -0.03519099516113907, -0.040886253943964786]	0.668	11.262	D#	39	3	2	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.111
[-1.0, -0.29823152804239089, -0.081521167649732218, 0.14572248567981083, 0.066673101938042392, 0.0031217340283712673, -0.065304242687045988, -0.061851354161918254, 0.069209059614457322, -0.02835838352418776, 0.038850587934504618, -0.023405179379848998]	0.776	11.749	D	86	2	6	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.087
[0.11615506184674636, 0.069759487223254812, 0.083206414776916662, 0.0089376107204434015, 0.029388198271818093, -0.028156181230270874, -0.003500478336023263, -0.031659340292452348, 0.0090519781610184941, 0.0048816802603630959, 0.0047137775609338087, -0.006491295074589753]	0.133	12.005	C	36	0	2	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.237
[0.40133551669765244, 0.28323851775348796, 0.029407483139620098, -0.031278598957998727, -0.075550950977772729, -0.023562357961898855, 0.018020525381367732, -0.078889068761479428, -0.018798982046454842, 0.0061706485090670627, 0.023099639677255625, 0.074589061641159332]	0.205	12.237	F	41	5	2	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.229
