time	chordName	chordKey	chordMode	chordNotes
27.516	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
27.771	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
28.003	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
28.259	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
28.282	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
28.514	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
28.770	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
29.002	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
29.257	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
29.513	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
29.768	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
30.000	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
30.023	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
30.256	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
30.511	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
30.766	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
31.022	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
31.254	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
31.509	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
31.579	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
31.765	Am	9	0	[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]
32.020	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
32.160	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
32.253	C#	1	1	[0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
32.508	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
32.763	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
