time	chroma	timbre	dB
11.116	[0.729, 0.079, 0.07, 0.051, 0.155, 1.0, 0.227, 0.037, 0.02, 0.056, 0.035, 0.041]	[52.501, 119.696, -23.638, -24.178, -41.726, -11.024, -2.88, -24.48, -0.799, 37.338, -13.878, -4.505]	-22.184
11.569	[1.0, 0.1, 0.026, 0.038, 0.044, 0.054, 0.046, 0.07, 0.069, 0.184, 0.059, 0.218]	[51.304, 111.739, -63.413, -6.282, 19.492, -25.315, -23.947, 14.43, 0.175, -7.547, -1.622, -4.129]	-11.813
11.863	[0.561, 0.448, 0.411, 0.424, 0.868, 1.0, 0.571, 0.557, 0.081, 0.159, 0.038, 0.263]	[50.164, 14.291, -17.749, -29.075, -17.314, 1.414, 15.502, -16.197, 26.73, 10.642, -17.335, -13.185]	-13.633
12.016	[0.482, 0.235, 0.665, 0.287, 0.156, 0.346, 0.348, 0.82, 0.194, 0.105, 0.138, 1.0]	[53.201, 100.695, 0.277, -35.58, -28.893, -2.133, 16.689, 1.383, 23.465, -17.911, 13.848, -14.5]	-11.863
12.271	[0.334, 0.112, 0.217, 0.108, 0.125, 0.166, 0.407, 0.492, 0.315, 0.289, 0.367, 1.0]	[53.296, 123.924, -33.826, -17.338, -2.085, -39.566, -5.556, -20.466, -2.908, 11.626, -21.459, -10.429]	-7.703
12.713	[0.128, 0.07, 0.409, 0.107, 0.022, 0.04, 0.435, 1.0, 0.297, 0.036, 0.368, 0.859]	[48.816, 51.997, -56.841, -37.383, -12.673, -32.354, 4.837, -23.949, 10.17, -3.227, -3.423, -4.224]	-12.430
12.906	[0.091, 0.139, 0.131, 0.108, 0.322, 0.128, 0.102, 0.092, 0.156, 1.0, 0.206, 0.1]	[51.605, 121.843, 23.057, -86.209, -45.647, -22.666, -9.219, 9.883, 14.771, -5.609, -0.692, -6.331]	-12.840
13.403	[0.235, 0.164, 0.088, 0.169, 0.296, 0.117, 0.181, 0.175, 1.0, 0.737, 0.245, 0.157]	[53.698, 115.166, 6.685, -14.561, 0.885, -30.117, -12.122, 11.406, -8.022, -8.032, 7.059, -5.959]	-7.997
13.665	[0.072, 0.065, 0.02, 0.044, 0.393, 0.044, 0.027, 0.046, 0.243, 1.0, 0.322, 0.09]	[52.628, 67.193, 16.468, -8.08, -19.623, -38.78, 5.946, -22.345, 0.212, 29.999, -14.104, -9.044]	-8.825
13.891	[0.528, 0.754, 0.174, 0.366, 0.627, 0.573, 0.314, 0.191, 0.55, 1.0, 0.229, 0.253]	[51.072, 79.919, -19.057, -5.036, 1.323, -75.891, 12.941, -3.229, -22.231, 7.851, -29.126, -11.06]	-8.687
