MFCC	ZC	time	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
[0.0041540401829635231, -0.020032862915218354, -0.095214369569251084, -0.039969941194434408, -0.0068677745875868066, 0.019743122987520092, 0.013245962989590274, 0.0024471932264872958, -0.052069828636292656, -0.053505380465237368, -0.052687126468306318, 0.010627524108077272]	0.274	6.455	F	53	5	3	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.461
[0.017133444805343557, -0.010942598290937564, -0.0076782771801219823, -0.032515642447986152, -0.058564036631686606, -0.036178331970442221, 0.00036267477520589422, -0.018761232643639773, -0.057238891230878199, -0.048996782157093438, -0.023144774363360515, 0.0062840614833845742]	0.098	6.687	F	53	5	3	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.698
[0.15960614816117424, 0.012077234068640441, 0.06463949705764313, -0.026664937310635559, 0.0038561423378859596, -0.017685135522083759, 0.0056947906910692677, 0.0094837927938063206, -0.015542558453739046, -0.021996181095723731, 0.027744409608788333, 0.0050664974511442865]	0.124	6.896	F#	30	6	1	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]	0.750
[0.081476087652428877, 0.053330551208029729, 0.0090477725487232586, -0.017149843408453401, 0.0052527546420841334, -0.013253910904824723, -0.02920369581445675, -0.022531919044808932, -0.010397997558438048, 0.041895783507949279, 0.021715711884049572, 0.0099729543655026984]	0.318	7.129	D	50	2	3	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]	0.643
[0.13860092006851354, 0.0076742202028307616, -0.073034755551318928, -0.02378208269167988, -0.006811442293239268, 0.033647501098379481, 0.044116456004705332, -0.039746983364255632, -0.063213711372737458, -0.026165871316167991, 0.044365074567546813, 0.020165359457925813]	0.474	7.361	D	62	2	4	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.616
[0.051218601360512664, 0.00016615931978872787, -0.014556007292662192, -0.051082068825561919, 0.032194380227771519, -0.0031383856655048926, 0.056857492222385134, -0.02435647169218319, -0.033665628518010526, -0.012646137643067174, -0.012586220006780726, 0.018259833378818709]	0.240	7.384	F#	54	6	3	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]	0.613
[-0.0024398314527054607, 0.040367772760178465, -0.016284067221428718, -0.060330159241477742, 0.045403586265625066, 0.013794056465555293, 0.051036648939761495, -0.014205855033201145, 0.03113068719936839, 0.045398430431741722, -0.0081981173052950232, -0.014817652610513781]	0.192	7.593	B	47	11	2	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.546
[0.046152825076730873, 0.13160906633417072, 0.015529873738787652, -0.050713953577876558, -0.0067583864779400841, 0.038894472434438609, 0.021487420658746991, -0.049390201011075857, -0.029877828196029649, 0.018358341635113497, 0.031346729809450379, 0.02914995752275517]	0.234	7.825	A	45	9	2	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.760
[-0.04427874281144558, 0.046038836588842849, -0.036024730562458217, -0.070381427690379236, -0.022731427374392904, -0.004480585441003028, 0.078421490105233915, -0.032536371259615351, 0.0034699883595877608, -0.00022614124770469669, 0.049407977523043531, 0.067489720897052144]	0.234	8.057	A	57	9	3	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.562
[-0.020098208568247771, -0.023182642604504249, -0.10526093897581938, -0.073697863607048775, -0.0067731064916934664, -0.023754893553592719, 0.030209572239256147, -0.055652753792853768, -0.046821259449349312, -0.012365510023920697, 0.007412594192012319, 0.030327720465556339]	0.301	8.290	G#	56	8	3	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.458
[-0.0016228740053181934, 0.0051260983131670651, 0.0047941292940619322, -0.040325061769229967, 0.0012384310778313003, -0.037812160002958978, 0.034033050225515997, -0.016435602096121844, 0.0048024092122706547, 0.038056267715854138, -0.020466173159645881, 0.06947726314976492]	0.145	8.522	G#	32	8	1	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.574
[0.13495259813682692, 0.033972959579168648, 0.079395701901435259, -0.038464675819307119, 0.033333302058870549, -0.043618544468361276, 0.020371440370279555, -0.0085965293085550048, -0.012324425801630137, 0.0011768698568598997, 0.00079613582563328072, -0.022111433651455965]	0.154	8.754	B	35	11	1	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.533
[0.0076272611557867912, -0.0092576641641085432, -0.032408551372285807, -0.028467796444394729, -0.053551233938035035, -0.055794298692216263, -0.04448257354667419, 0.0034809311180679253, 0.010654787754973378, -0.0064261299799777882, -0.020124556570824514, 0.0085706664227748752]	0.677	8.986	A	45	9	2	A	9	1	[0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]	0.348
