time	chroma	timbre	dB
13.538	[0.065, 0.015, 0.015, 0.011, 0.027, 0.116, 0.082, 0.026, 0.088, 0.012, 0.048, 1.0]	[41.554, 10.279, -97.389, 12.83, -35.937, -4.144, -13.735, -34.634, -50.292, 48.173, -16.148, 2.757]	-25.472
14.010	[0.173, 0.008, 0.006, 0.01, 0.041, 0.024, 0.07, 0.278, 0.211, 0.013, 0.072, 1.0]	[41.174, 61.286, -71.303, -73.408, -44.428, 1.982, -28.081, -4.991, -17.351, -11.654, 6.444, -23.614]	-26.859
14.286	[0.726, 0.06, 0.037, 0.081, 0.043, 0.097, 0.595, 0.704, 0.884, 0.047, 0.082, 1.0]	[41.445, 87.335, -79.855, 44.968, -50.665, -38.342, -28.745, -11.165, -33.585, -0.569, -12.353, -3.394]	-19.409
14.756	[0.99, 0.265, 0.023, 0.037, 0.143, 0.062, 0.487, 1.0, 0.627, 0.053, 0.018, 0.553]	[38.473, 123.121, -38.564, -72.337, -56.433, -0.139, -31.378, -16.084, -35.877, -17.185, 0.798, -17.028]	-27.337
15.034	[0.066, 0.018, 0.011, 0.04, 0.006, 0.017, 0.068, 0.246, 1.0, 0.044, 0.013, 0.136]	[40.898, 103.61, -31.989, 3.457, -63.129, -2.244, -19.434, 4.011, -51.24, 18.312, -21.623, -5.449]	-22.229
15.764	[0.042, 0.093, 0.05, 0.167, 0.047, 0.057, 0.116, 0.442, 1.0, 0.127, 0.046, 0.08]	[38.024, 112.953, -35.492, 66.444, -52.412, -3.018, -2.945, -13.067, -46.371, 2.718, -7.738, 0.14]	-26.243
16.087	[0.033, 0.024, 0.027, 0.082, 0.118, 0.104, 0.474, 0.513, 1.0, 0.59, 0.244, 0.006]	[31.596, -12.141, 16.486, -35.82, -14.493, -18.535, -2.017, -19.082, -33.796, 16.098, -15.642, -9.415]	-30.080
16.231	[0.042, 0.034, 0.015, 0.057, 0.018, 0.133, 0.315, 0.248, 1.0, 0.07, 0.067, 0.052]	[37.369, 135.081, 8.95, -69.676, -40.261, 20.015, -15.109, 6.477, -51.015, -23.872, 8.803, -4.467]	-29.406
16.509	[0.012, 0.028, 0.075, 1.0, 0.109, 0.13, 0.339, 0.073, 0.132, 0.136, 0.296, 0.018]	[41.286, 79.151, -60.7, -15.495, -35.409, 0.059, -34.431, -30.876, -39.0, 22.69, -13.63, 3.215]	-21.963
16.947	[0.03, 0.032, 0.053, 0.611, 0.145, 0.047, 0.096, 0.353, 0.548, 0.376, 1.0, 0.083]	[40.525, 45.376, -7.274, -118.5, -20.183, 0.073, -49.28, 25.76, -25.439, -10.779, 7.587, -12.299]	-24.814
17.287	[0.015, 0.076, 0.05, 0.262, 0.056, 0.077, 0.1, 0.208, 1.0, 0.14, 0.508, 0.072]	[43.835, 83.853, -64.291, 55.685, -16.428, -33.325, -32.164, -34.007, -37.621, -8.71, -32.541, 4.397]	-16.521
17.758	[0.036, 0.025, 0.024, 0.196, 0.043, 0.028, 0.107, 0.488, 1.0, 0.177, 0.946, 0.345]	[43.503, 91.649, -7.636, -41.784, -35.849, 12.796, -42.529, 21.66, -51.578, -2.983, 12.177, 0.649]	-25.474
18.046	[0.062, 0.018, 0.013, 0.016, 0.008, 0.046, 0.22, 0.018, 0.08, 0.021, 0.079, 1.0]	[45.689, 81.687, -55.478, -15.482, -46.861, -13.825, -13.25, -5.004, -34.491, 5.934, -18.088, 17.769]	-20.036
18.513	[0.158, 0.008, 0.005, 0.009, 0.005, 0.024, 0.173, 0.126, 0.071, 0.021, 0.129, 1.0]	[43.872, 74.16, -55.098, -67.412, -64.547, -18.01, -37.385, -0.59, -18.473, -3.964, 1.43, -13.057]	-19.800
18.781	[0.12, 0.101, 0.156, 0.091, 0.041, 0.147, 0.341, 1.0, 0.894, 0.098, 0.12, 0.647]	[41.596, 124.823, -73.174, 63.353, -59.188, -21.192, -24.589, 15.022, -37.355, -22.681, -16.873, -0.231]	-16.487
19.260	[0.413, 0.055, 0.039, 0.086, 0.046, 0.325, 0.786, 0.73, 0.479, 0.087, 0.107, 1.0]	[33.909, 147.921, -32.317, -16.754, -70.165, -4.544, -33.728, 11.78, -39.484, -15.936, 2.548, -1.653]	-30.098
19.534	[0.015, 0.035, 0.011, 0.02, 0.02, 0.071, 1.0, 0.365, 0.605, 0.025, 0.046, 0.019]	[43.301, 105.733, -31.551, 18.412, -55.996, 52.878, -25.389, -29.101, -59.617, 13.26, -19.42, -5.009]	-29.885
20.275	[0.052, 0.233, 0.075, 0.055, 0.045, 0.081, 0.628, 0.4, 1.0, 0.072, 0.094, 0.948]	[39.827, 38.68, -65.152, 53.1, -26.118, -5.155, -29.058, -27.887, -31.099, -5.133, 6.151, -4.112]	-24.982
20.741	[0.042, 0.178, 0.024, 0.033, 0.024, 0.073, 0.628, 1.0, 0.514, 0.07, 0.072, 0.195]	[40.252, 124.086, -21.915, -91.298, -35.806, 45.571, -30.553, 23.278, -25.139, -50.293, 13.054, -15.894]	-29.052
21.037	[0.004, 0.131, 0.005, 0.001, 0.004, 0.245, 1.0, 0.115, 0.024, 0.005, 0.004, 0.017]	[43.435, 16.233, -61.368, -5.157, -33.657, -16.115, -32.755, -40.5, -37.397, 21.208, -23.353, -1.588]	-21.090
21.471	[0.013, 0.244, 0.01, 0.006, 0.014, 0.371, 1.0, 0.193, 0.214, 0.018, 0.02, 0.033]	[39.082, 36.785, -51.995, -25.131, -44.938, -21.003, -30.507, 17.041, -31.251, -25.362, -3.862, -14.647]	-21.838
21.750	[0.038, 0.59, 0.053, 0.072, 0.041, 0.148, 1.0, 0.378, 0.246, 0.05, 0.047, 0.036]	[37.992, 115.182, -64.722, 64.009, -31.386, 0.694, -35.551, -20.755, -48.389, 3.099, -28.787, -0.198]	-25.783
22.501	[0.051, 1.0, 0.076, 0.024, 0.042, 0.229, 0.054, 0.013, 0.047, 0.048, 0.094, 0.022]	[45.169, 136.117, -60.975, -10.373, -72.542, 46.571, -51.604, -9.668, -21.504, 42.284, 6.653, -14.018]	-32.479
22.964	[0.073, 1.0, 0.131, 0.007, 0.006, 0.05, 0.131, 0.061, 0.033, 0.108, 0.225, 0.018]	[40.218, 70.614, -68.192, -51.958, -41.63, -20.699, -55.201, -19.564, 5.667, -4.352, -17.249, -12.529]	-20.731
23.255	[0.069, 0.838, 0.14, 0.124, 0.092, 0.267, 1.0, 0.463, 0.339, 0.155, 0.568, 0.095]	[41.087, 63.13, -68.149, 7.764, -0.214, 12.928, -38.473, -31.383, -30.213, -14.319, -35.53, -5.35]	-22.246
23.754	[0.085, 0.381, 0.12, 0.027, 0.027, 0.089, 0.896, 0.236, 0.143, 0.147, 1.0, 0.391]	[39.094, 63.951, -59.55, -49.411, -13.934, -10.86, -65.584, -11.454, -13.976, 5.596, -2.764, -9.584]	-26.836
24.039	[0.005, 0.026, 0.023, 0.031, 0.035, 0.02, 0.075, 0.295, 1.0, 0.035, 0.029, 0.013]	[43.111, 60.715, -34.03, -5.092, -38.954, 3.796, -27.576, -3.425, -26.93, 29.034, -13.287, -6.49]	-24.541
24.492	[0.031, 0.027, 0.004, 0.01, 0.014, 0.023, 0.112, 0.151, 1.0, 0.127, 0.151, 0.029]	[39.792, 41.98, -35.45, -40.188, -31.25, -25.393, -29.378, 0.857, -57.038, -3.324, -3.926, -22.332]	-23.612
24.771	[0.026, 0.057, 0.068, 0.102, 0.101, 0.06, 0.065, 0.128, 1.0, 0.072, 0.048, 0.032]	[39.502, 68.959, -62.282, 79.415, -43.904, -10.429, -28.901, -30.492, -43.781, -4.385, -15.418, 2.365]	-21.668
25.262	[0.05, 0.043, 0.026, 0.038, 0.032, 0.207, 0.39, 0.146, 1.0, 0.184, 0.09, 0.072]	[39.601, 146.078, -7.997, -28.59, -63.811, -18.89, -32.51, 23.369, -57.755, -22.04, 1.41, -2.305]	-29.527
25.502	[0.02, 0.041, 0.088, 1.0, 0.125, 0.161, 0.403, 0.1, 0.112, 0.024, 0.058, 0.022]	[40.627, 109.682, -51.01, -7.926, -44.752, 14.866, -12.485, -19.597, -42.005, 21.304, -21.299, 4.427]	-23.050
25.919	[0.095, 0.066, 0.139, 1.0, 0.271, 0.162, 0.213, 0.508, 0.251, 0.113, 0.235, 0.119]	[39.315, 62.552, 46.094, -83.024, 7.07, -34.869, -5.426, 51.056, 9.729, 7.003, -5.584, -23.924]	-25.630
26.285	[1.0, 0.677, 0.18, 0.222, 0.324, 0.36, 0.452, 0.286, 0.449, 0.421, 0.753, 0.61]	[45.134, 145.739, -41.1, 1.213, -42.263, -32.515, -9.233, 2.231, -46.764, 13.018, -0.413, -0.651]	-19.240
26.419	[0.106, 0.01, 0.008, 0.097, 0.033, 0.019, 0.083, 0.037, 0.059, 1.0, 0.087, 0.308]	[47.402, 119.249, -51.833, -57.886, -29.734, 1.015, -80.15, -9.504, 12.439, 29.812, -8.288, -5.654]	-18.719
26.756	[0.408, 0.027, 0.036, 0.194, 0.056, 0.048, 0.203, 0.399, 0.578, 0.48, 0.149, 1.0]	[44.211, 116.433, -5.267, -19.752, -44.65, -6.188, -48.37, 13.416, -42.602, 10.658, -6.392, 6.303]	-18.236
27.016	[0.692, 0.465, 0.322, 0.336, 0.341, 0.365, 0.598, 0.689, 0.866, 1.0, 0.62, 0.443]	[43.642, 123.116, -19.925, -58.425, -59.772, -8.907, -28.309, -30.998, -27.218, 16.521, -7.526, 14.698]	-19.037
27.131	[0.024, 0.008, 0.002, 0.041, 0.048, 0.026, 0.049, 0.087, 1.0, 0.287, 0.019, 0.064]	[46.289, 47.081, -19.36, -25.887, -48.886, -13.624, -18.586, -22.368, -36.036, 6.189, -18.66, -1.386]	-15.174
27.493	[0.041, 0.004, 0.012, 0.056, 0.019, 0.01, 0.05, 0.203, 1.0, 0.273, 0.018, 0.086]	[45.134, 86.508, -41.441, -33.528, -25.082, -26.449, -36.926, 20.627, -38.826, -10.974, 1.595, 6.838]	-17.122
27.766	[0.023, 0.061, 0.069, 0.072, 0.024, 0.036, 0.04, 0.157, 1.0, 0.219, 0.029, 0.039]	[40.109, 120.132, -58.434, 51.406, -55.434, -19.179, -28.848, -12.762, -53.228, 12.38, -29.487, 6.053]	-18.614
28.224	[0.079, 0.037, 0.058, 0.256, 0.061, 0.072, 0.581, 0.887, 1.0, 0.575, 0.109, 0.085]	[33.764, 86.346, -8.083, -7.332, -50.49, 3.927, -15.096, 1.077, -67.679, -5.818, -3.596, 8.828]	-31.659
28.490	[0.012, 0.029, 0.07, 1.0, 0.053, 0.035, 0.088, 0.572, 0.194, 0.067, 0.057, 0.02]	[38.678, 107.579, 22.878, -116.848, -44.109, 58.898, 1.877, 26.962, -38.648, -33.016, -19.292, 12.048]	-30.806
29.269	[0.009, 0.026, 0.027, 0.101, 0.032, 0.193, 1.0, 0.316, 0.074, 0.017, 0.019, 0.012]	[42.176, 73.28, -51.653, -3.259, -28.546, 4.715, -23.809, -44.832, -45.381, 18.147, -18.981, 0.913]	-21.727
29.756	[0.044, 0.035, 0.079, 0.627, 0.18, 0.516, 0.878, 0.696, 1.0, 0.091, 0.163, 0.098]	[40.208, 135.07, -22.347, -30.595, -52.697, 11.16, -36.598, 10.118, -53.863, -2.26, 8.176, 0.025]	-25.862
30.041	[0.696, 1.0, 0.549, 0.738, 0.76, 0.591, 0.307, 0.375, 0.293, 0.167, 0.146, 0.189]	[46.768, 166.222, -10.517, 1.66, -71.62, -13.47, 1.537, -14.008, -63.946, 4.952, 19.397, 12.934]	-23.547
30.147	[0.026, 0.02, 0.015, 0.055, 0.335, 0.057, 0.06, 0.093, 1.0, 0.515, 0.049, 0.158]	[46.481, 32.701, -23.99, -6.504, -43.494, -18.058, -40.175, 2.036, -55.527, -0.126, -23.721, 5.828]	-15.119
30.517	[0.13, 0.113, 0.092, 0.533, 1.0, 0.307, 0.212, 0.928, 0.758, 0.216, 0.152, 0.606]	[41.904, 119.222, -1.157, -0.284, -33.503, -24.383, -18.722, 19.616, -16.656, -6.726, -8.904, 7.001]	-18.482
30.790	[0.489, 1.0, 0.597, 0.598, 0.796, 0.793, 0.61, 0.599, 0.359, 0.351, 0.166, 0.094]	[42.095, 141.799, -22.837, -9.319, -29.361, -62.177, 3.704, 16.977, -40.744, -1.497, -0.072, 5.371]	-21.843
30.870	[0.054, 0.072, 0.134, 0.223, 0.401, 0.241, 0.175, 0.097, 0.205, 1.0, 0.67, 0.272]	[43.057, 6.94, 10.794, -20.55, 38.905, -23.382, 24.617, 3.006, -5.047, 19.939, -26.192, 26.337]	-19.990
31.231	[0.135, 0.177, 0.176, 0.36, 1.0, 0.272, 0.801, 0.412, 0.525, 0.366, 0.187, 0.302]	[41.528, 164.792, -40.771, -15.993, 29.341, -13.564, -5.421, -12.884, 17.778, -11.384, -5.476, 29.049]	-24.709
31.498	[0.064, 0.022, 0.021, 0.017, 0.038, 0.164, 0.062, 0.022, 0.168, 0.315, 0.09, 1.0]	[42.132, 38.122, -60.043, -16.138, -1.855, 9.079, -31.618, -69.565, -17.505, 19.983, -53.992, 4.632]	-21.228
31.982	[0.118, 0.01, 0.009, 0.012, 0.042, 0.029, 0.091, 0.263, 0.322, 0.14, 0.062, 1.0]	[43.481, 133.125, -100.989, -66.528, -24.401, 3.629, -41.018, -66.767, 11.23, -6.492, -12.393, 1.717]	-25.302
32.287	[0.098, 0.026, 0.035, 0.031, 0.04, 0.082, 0.32, 1.0, 0.839, 0.183, 0.071, 0.261]	[42.438, 58.833, -83.783, 29.522, -40.129, -43.296, -52.636, -2.208, -28.195, 2.615, -5.479, -9.352]	-18.083
