time	chordName	chordKey	chordMode	chordNotes
29.907	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
30.209	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
30.256	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
30.488	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
30.604	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
30.975	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
31.254	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
31.300	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
31.486	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
31.974	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
31.997	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
32.485	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
32.740	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
32.833	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]
32.949	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
33.205	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
33.483	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
33.506	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
33.785	D	2	1	[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
33.878	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
33.994	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
34.249	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
34.528	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
34.737	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
34.992	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
35.016	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]
35.759	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
35.898	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
36.061	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]
36.246	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
36.386	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]
36.502	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
36.525	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
36.897	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
37.059	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]
37.105	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
37.314	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
37.454	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
37.709	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
37.895	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
37.988	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
38.034	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
38.545	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
38.708	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
38.754	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
38.870	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
38.986	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
39.219	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
39.335	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
39.497	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
39.544	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]
39.706	Cm	0	0	[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]
39.985	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]
40.263	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]
40.449	F#m	6	0	[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]
40.681	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]
40.844	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
41.006	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]
41.053	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]
41.773	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]
42.423	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]
42.493	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]
42.609	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]
