time	MFCC1	MFCC2	MFCC3	MFCC4	MFCC5	MFCC6
33.483	0.248	0.364	-0.380	-0.355	0.004	-0.189
33.506	0.027	0.117	-0.000	-0.093	-0.013	-0.001
33.785	0.020	0.042	-0.114	-0.022	0.011	-0.057
33.878	-0.081	-0.022	-0.042	0.012	0.040	-0.024
33.994	-0.035	0.095	-0.117	-0.018	0.029	-0.087
34.249	0.058	-0.015	-0.049	-0.059	0.006	-0.010
34.528	0.086	-0.041	-0.072	-0.079	0.033	-0.015
34.737	0.089	0.028	-0.122	-0.019	-0.024	-0.030
34.992	0.281	0.237	-0.060	-0.075	0.032	0.074
35.016	0.006	-0.001	-0.054	-0.043	-0.030	-0.019
35.759	0.169	0.048	-0.007	-0.026	-0.066	-0.032
35.898	0.179	0.093	-0.025	-0.079	-0.030	-0.038
36.061	0.054	0.015	-0.028	-0.041	-0.077	-0.041
36.246	0.086	0.022	-0.054	-0.079	-0.040	-0.041
36.386	0.170	0.128	-0.039	-0.112	-0.034	-0.058
36.502	0.328	0.218	-0.145	-0.159	0.014	-0.067
36.525	0.117	0.087	-0.084	-0.084	-0.046	-0.028
36.897	0.174	0.070	-0.158	-0.139	0.004	-0.073
37.059	0.267	0.328	-0.070	-0.201	-0.028	-0.062
37.105	0.070	0.037	-0.043	-0.078	-0.061	-0.050
37.314	0.080	0.025	-0.029	-0.050	-0.036	0.014
37.454	0.083	0.077	-0.059	-0.022	-0.032	-0.007
37.709	0.012	-0.004	-0.005	0.010	0.043	-0.028
37.895	0.068	-0.028	-0.008	0.071	0.101	-0.012
37.988	0.178	0.075	-0.011	-0.015	-0.039	-0.009
38.034	0.062	-0.003	-0.046	-0.042	0.028	-0.055
38.545	0.050	-0.028	-0.100	-0.073	0.015	0.011
38.708	0.126	-0.044	-0.131	-0.117	0.039	0.047
38.754	0.162	-0.003	-0.053	-0.053	-0.025	0.009
38.870	0.170	-0.088	-0.073	-0.100	-0.004	-0.011
38.986	0.120	0.090	-0.093	-0.120	0.011	0.005
39.219	0.041	0.002	-0.063	-0.008	-0.051	0.091
39.335	-0.002	0.003	-0.115	-0.000	0.025	-0.016
39.497	0.097	0.093	-0.114	-0.007	-0.050	-0.029
39.544	0.017	0.036	-0.071	-0.037	0.057	-0.005
39.706	0.046	-0.083	-0.104	-0.017	0.062	-0.003
39.985	-0.068	-0.032	-0.097	-0.092	0.033	-0.003
40.263	0.061	-0.001	0.008	-0.055	0.013	-0.076
40.449	0.039	-0.011	-0.012	-0.046	-0.045	-0.001
40.681	0.060	0.035	-0.042	-0.136	-0.060	0.048
40.844	-0.004	0.017	-0.065	-0.016	-0.014	-0.019
41.006	0.182	0.067	-0.078	-0.084	-0.016	0.010
41.053	0.087	0.072	-0.081	-0.058	-0.076	-0.031
41.773	0.053	0.009	0.013	-0.073	-0.015	-0.066
42.423	0.177	0.031	-0.074	-0.035	-0.007	-0.003
42.493	0.214	-0.039	-0.029	-0.147	-0.032	-0.031
42.609	0.117	-0.013	-0.120	-0.042	-0.001	-0.022
43.003	0.402	0.608	-0.415	-0.196	0.244	0.048
43.027	0.064	0.074	-0.100	-0.027	-0.011	0.003
43.305	0.175	0.059	-0.051	-0.031	-0.019	-0.021
43.398	0.154	0.044	-0.003	-0.041	0.026	-0.024
43.491	0.206	-0.027	-0.084	-0.104	0.035	-0.023
43.700	0.096	0.022	-0.042	-0.024	0.011	0.008
43.979	0.098	0.152	-0.120	-0.021	0.075	-0.039
44.327	0.105	0.159	-0.147	-0.090	0.099	0.002
44.722	0.048	0.044	-0.065	-0.098	-0.107	-0.111
44.768	0.084	0.040	-0.024	-0.086	-0.049	-0.071
44.907	0.057	0.023	-0.058	-0.056	-0.024	-0.025
45.186	0.003	0.062	-0.025	-0.074	-0.109	-0.070
45.232	-0.001	-0.090	-0.087	-0.068	-0.014	-0.034
45.488	0.123	0.035	-0.106	-0.021	0.050	-0.057
45.581	0.079	0.099	-0.091	-0.018	-0.067	-0.106
45.697	-0.076	-0.042	-0.086	0.050	0.034	-0.055
45.906	-0.037	-0.151	-0.124	0.010	0.026	0.003
46.092	-0.094	-0.112	-0.075	0.004	0.023	-0.014
46.254	0.075	-0.015	-0.069	-0.037	0.024	0.007
46.440	0.149	-0.122	-0.088	-0.060	0.100	-0.036
46.533	0.032	-0.154	-0.048	-0.011	0.048	-0.010
46.672	0.011	-0.051	-0.042	0.045	0.012	-0.019
46.881	0.016	0.031	-0.052	-0.030	-0.018	-0.069
46.997	0.071	-0.013	-0.014	-0.067	-0.042	-0.047
47.090	0.118	-0.013	-0.054	-0.046	-0.023	0.012
47.322	0.002	-0.079	-0.071	-0.073	-0.019	-0.013
47.763	0.191	0.048	-0.053	-0.063	-0.059	-0.002
47.949	0.059	-0.021	-0.101	-0.077	-0.031	-0.037
48.158	0.125	-0.003	-0.053	-0.063	-0.031	-0.028
48.251	0.118	0.034	-0.090	-0.041	-0.047	-0.019
48.506	0.040	0.022	-0.042	-0.041	0.007	-0.012
48.785	0.131	-0.015	-0.123	-0.072	0.019	0.041
