time	ZC
233.221	0.068
233.477	0.179
233.546	0.104
233.755	0.185
233.779	0.097
233.918	0.081
234.220	0.219
234.243	0.119
234.498	0.298
234.591	0.167
234.847	0.100
234.940	0.090
235.265	0.104
235.311	0.106
235.427	0.074
235.659	0.259
235.961	0.363
235.984	0.385
236.286	0.144
236.379	0.227
236.449	0.241
236.751	0.181
236.844	0.242
236.913	0.218
237.238	0.252
237.331	0.289
237.494	0.175
237.633	0.074
237.981	0.144
238.260	0.206
238.376	0.103
238.608	0.055
238.678	0.084
238.980	0.332
239.003	0.080
239.328	0.047
239.398	0.107
239.723	0.221
239.839	0.122
239.955	0.074
240.257	0.100
240.489	0.381
240.512	0.131
240.791	0.047
240.977	0.108
241.255	0.094
241.371	0.050
241.441	0.024
241.697	0.075
241.998	0.517
242.022	0.129
242.741	0.156
242.927	0.082
243.043	0.154
243.229	0.157
243.508	0.267
243.740	0.279
243.763	0.326
243.902	0.239
244.019	0.200
244.274	0.276
244.413	0.078
245.017	0.103
245.760	0.176
246.248	0.104
246.503	0.087
246.875	0.332
246.991	0.249
247.037	0.089
247.246	0.219
247.409	0.181
247.525	0.199
247.757	0.192
247.989	0.264
248.105	0.207
248.477	0.218
248.732	0.370
248.755	0.118
248.895	0.083
249.173	0.102
249.220	0.121
249.498	0.337
249.568	0.193
249.707	0.199
249.986	0.188
250.241	0.302
250.265	0.249
250.427	0.130
250.752	0.140
251.008	0.385
251.101	0.239
251.472	0.137
251.588	0.120
251.751	0.313
251.774	0.128
251.890	0.065
252.215	0.126
252.308	0.068
252.494	0.295
252.610	0.155
252.912	0.205
252.981	0.227
253.260	0.279
253.283	0.157
253.608	0.101
253.841	0.101
254.003	0.331
254.096	0.231
254.398	0.226
254.514	0.215
254.746	0.329
254.816	0.244
254.955	0.203
255.211	0.209
255.280	0.133
255.489	0.270
255.605	0.180
255.721	0.165
255.977	0.235
256.255	0.183
256.441	0.105
256.720	0.119
256.766	0.135
256.998	0.259
257.486	0.243
257.765	0.323
257.811	0.235
257.927	0.203
258.252	0.185
258.485	0.196
258.508	0.224
258.670	0.157
258.879	0.356
258.995	0.277
259.251	0.215
259.390	0.113
259.553	0.125
259.692	0.121
259.994	0.423
260.017	0.188
260.180	0.166
260.481	0.152
260.760	0.203
260.830	0.125
260.946	0.172
261.224	0.299
261.503	0.668
261.526	0.250
261.735	0.146
261.968	0.302
261.991	0.220
262.246	0.227
262.432	0.128
262.455	0.161
262.711	0.185
262.989	0.292
263.105	0.160
263.198	0.129
263.477	0.184
263.570	0.113
263.755	0.191
263.895	0.249
263.964	0.284
264.243	0.183
264.499	0.318
264.591	0.240
264.707	0.183
264.986	0.211
265.009	0.217
265.265	0.172
265.451	0.106
265.474	0.097
265.729	0.121
266.008	0.337
