time	MFCC	ZC	noteName	noteMIDI	noteKey	noteOctave	chordName	chordKey	chordMode	chordNotes	RMS
9.613	[0.014735334565787697, -0.054912532222732804, -0.053326651177523887, -0.0083848718855156421, 0.036513182570546705, -0.021655779990821074]	0.135	A#	58	10	3	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.189
9.985	[-0.094042237101118836, 0.055368731749809656, -0.067155657376551492, -0.11613060976449767, 0.079091889650865221, 0.039109880134584094]	0.216	A#	58	10	3	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.238
10.263	[0.10949756242536102, 0.21277604254205329, -0.089656618967458912, -0.12139308991559464, 0.05957081663518049, 0.052010994302273843]	0.389	F	41	5	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.401
10.286	[-0.001265769681228444, 0.076438574501331666, -0.018604432715868462, -0.085389894931492419, -0.013704247717578022, 0.027226596932950004]	0.159	E	40	4	2	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.286
10.728	[0.096930525972104761, 0.02269232054013411, -0.047586146327335169, 0.0039494300551812913, -0.035941243837763315, 0.028843097112586501]	0.240	F	41	5	2	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.242
10.797	[0.07475807121931409, 0.073689587417703414, -0.090721387351258981, -0.065751693847461823, 0.018755514330367162, -0.025598258131247501]	0.186	E	40	4	2	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.227
11.006	[-0.012738632582525326, 0.017890205604264287, -0.074836425321563704, -0.05456952686907604, 0.024079950079775366, -0.070317905449418322]	0.170	E	40	4	2	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.146
11.749	[0.2271533055379398, 0.036124950379452112, 0.019373460687916039, -0.10821272476641462, -0.030430100592664364, -0.056512871922478655]	0.050	A#	46	10	2	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]	0.728
11.958	[0.17112191246407893, 0.036362717581827401, -0.045505483039167356, -0.064337546640586218, -0.059865401924824362, -0.0037951175591296998]	0.024	C	48	0	3	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.628
12.028	[0.091454018925833894, 0.026402176953096608, -0.057859111420809746, -0.078534710645383268, -0.05245287881409931, -0.035560503537855843]	0.031	B	47	11	2	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.473
12.283	[0.17057503838035626, 0.036408699651156458, -0.010138155158299772, -0.1138666462247588, -0.060020608227704303, -0.0042850229694730031]	0.063	A#	34	10	1	G	7	1	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]	0.407
12.423	[0.11339238580040435, 0.002640414629119688, -0.01235005766371893, -0.030663499577068907, -0.034476632645765726, -0.011681350884566153]	0.059	C	48	0	3	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.408
12.492	[0.051786523734380134, 0.013561106361460728, -0.0010759951147122145, -0.028824861998813699, -0.028178526711064009, -0.031570419663345839]	0.152	A	45	9	2	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]	0.457
12.608	[0.13424985825480737, 0.024378586667550915, -0.0084000397764236318, -0.057779151637139994, -0.060218417149021208, -0.023890217927867975]	0.076	F#	54	6	3	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.341
12.725	[0.14371433029980213, 0.21279021259054498, -0.029472530692336813, -0.12482889793364006, 0.041266403371534768, -0.030512848774964393]	0.117	B	23	11	0	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.175
13.050	[0.0685050779708304, 0.07674046622487056, -0.0041271578596196465, -0.027646216654578764, 0.040987808925912403, -0.054517381068515718]	0.168	G#	56	8	3	E	4	1	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]	0.216
13.282	[0.1518088720772969, 0.089218104910429169, -0.0074571378845560326, -0.0486679536608517, 0.012901213444804492, -0.10912494347853247]	0.073	A	45	9	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.622
13.375	[0.10673707291183251, 0.045597612134031351, 0.015033307049483118, -0.038326535031242545, -0.034795158260941948, -0.056043638765379752]	0.073	F#	42	6	2	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.444
13.514	[0.051769909109890266, -0.00010809957121220785, 0.019327203435031942, -0.045220825182845308, 0.0021317647492911929, -0.043521247972283975]	0.133	G#	44	8	2	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.194
13.978	[0.70479645383992351, 1.0, -0.025364348139056952, -0.18333454786322292, 0.41781461854253843, -0.053634970478177682]	0.340	G#	92	8	6	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.151
14.002	[0.087263310820042669, 0.087749053653870729, -0.068128109032256856, -0.094003398496148791, -0.010351003174081429, -0.0020351400366528977]	0.175	G#	44	8	2	Ab	8	1	[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]	0.145
14.768	[0.2824659950261712, 0.15228147317209847, -0.13548000334437504, -0.047328427272556921, -0.0084422751014047899, -0.049557151750607292]	0.079	F	53	5	3	Dm	2	0	[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.577
14.814	[0.15382545946031462, 0.0030220464762349226, -0.069411128649422019, -0.085283804292119875, -0.0059158265065803479, -0.050360784951243263]	0.078	F#	42	6	2	Ebm	3	0	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]	0.276
15.209	[0.073448022598971555, 0.00096334922329166636, -0.072009971028247771, -0.0053783595398274606, 0.051103929183415789, 0.012527862973119537]	0.167	G#	56	8	3	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.264
15.488	[0.13414821638141275, 0.050495107089799256, -0.025114229591846161, -0.15269239379805077, 0.10783986744925762, -0.029919812841333771]	0.174	F	41	5	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.473
15.511	[-0.021271613504034725, 0.0083926370826400195, -0.021905696852333421, -0.029242887497080875, 0.015102201893422366, -0.038132517071617543]	0.211	G	43	7	2	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.507
15.650	[0.046803874218709178, 0.059762484347885246, -0.075784486329423834, -0.093603538861598445, 0.052403196751959591, -0.033593587060491731]	0.131	G#	44	8	2	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.214
16.068	[0.04175024824211207, 0.045489160379968724, -0.12247906160512374, -0.080266221797297602, 0.035973428812426003, -0.0075989175920388565]	0.199	A#	58	10	3	Eb	3	1	[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]	0.254
16.254	[0.22405337226473354, 0.087049194805040114, -0.057399513457413856, -0.096059561957004672, -0.023240430645807535, -0.1203114191246024]	0.128	F	41	5	2	Gm	7	0	[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]	0.567
16.324	[0.088740784117637778, 0.08575268169329614, -0.035620327060911526, -0.069215324704530318, -0.042531459895738533, -0.010462666239495979]	0.079	F#	42	6	2	Bm	11	0	[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]	0.535
16.463	[0.13660576928300625, 0.0079784024124553155, -0.048909633519861703, -0.07596418481870397, -0.034252530911075794, -0.053592369165588266]	0.035	B	47	11	2	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	0.522
16.742	[0.15302440796539193, 0.089352012196021999, -0.055691941317208817, -0.06691022058386005, -0.080471166258638052, -0.064921012953960161]	0.052	B	47	11	2	B	11	1	[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]	0.489
16.997	[0.36461688264139713, 0.29788123251355975, -0.077294910606037964, -0.19870715198884092, -0.0085114659405273411, -0.17370634398657994]	0.295	C	48	0	3	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.368
17.020	[0.030292507888690975, 0.064308870861749162, -0.035297809002299459, -0.092936616917148343, -0.018351303826517101, -0.044808858256814882]	0.209	G	43	7	2	Em	4	0	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1]	0.201
17.763	[0.098467513887238275, 0.18230356023338615, -0.08189486658640302, -0.11191685011692724, 0.094303017617691443, -0.1063414568657851]	0.234	G	43	7	2	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.463
17.856	[0.088222415428479528, 0.039939871163003834, -0.060483590551882155, -0.20167018220585314, 0.015769132458838018, -0.032732975013732103]	0.172	F#	54	6	3	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.345
18.112	[0.077650597085851494, -0.090399015369950791, -0.10913608346517163, -0.15155903528971335, 0.036811344864936285, -0.048419156326079349]	0.109	G#	56	8	3	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.226
18.251	[0.069835337969976014, -0.039897953691114284, -0.1571485095161895, -0.018621769647151735, 0.048523145584485922, 0.0072318703936707449]	0.086	F#	42	6	2	Fm	5	0	[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]	0.184
18.506	[0.16744639459455937, 0.052286054407476933, -0.041476535949845905, -0.17067508585765342, 0.022776674364221455, -0.090836973048360067]	0.278	C	36	0	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	0.306
18.553	[0.11820212752793659, -0.011555179302824178, -0.13653798817183335, -0.041346676494541455, -0.056565415614604687, -0.084762935123782635]	0.075	G#	56	8	3	Abm	8	0	[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]	0.210
18.971	[0.087330680876527955, 0.10614874121008, -0.12579291497067516, -0.031066319456843572, 0.004979638764524342, -0.029301608289500677]	0.283	A#	94	10	6	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.199
19.064	[0.017929576747033948, -0.013087174352626761, -0.085125610565820867, -0.10263683065494079, -0.014712171506366618, -0.017460644797185645]	0.239	A#	94	10	6	F#	6	1	[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]	0.242
19.296	[0.082621932367034356, 0.030456079612790267, -0.016788362885432846, -0.012760741962803499, -0.030674364203633533, -0.041781937381951129]	0.026	F	41	5	2	Bb	10	1	[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0]	0.912
19.365	[0.063692562053341201, 0.048862648713527024, 0.02936814992210561, 0.035447794135770018, 0.00074847128847799042, -0.056056668109344628]	0.016	G	43	7	2	F	5	1	[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]	1.000
