time	noteName	noteMIDI	noteKey	noteOctave
86.866	F	29	5	1
86.982	G#	56	8	3
87.237	B	47	11	2
87.353	A#	46	10	2
87.493	B	47	11	2
87.609	D#	39	3	2
87.980	D#	39	3	2
88.213	F#	54	6	3
88.514	F#	54	6	3
88.747	B	47	11	2
88.956	C	48	0	3
89.002	B	47	11	2
89.118	F#	54	6	3
89.420	F#	54	6	3
89.559	A	57	9	3
89.768	F	41	5	2
89.815	G	43	7	2
89.954	F#	30	6	1
90.210	A#	-2	10	-2
90.488	E	76	4	5
90.511	F#	30	6	1
90.813	G	55	7	3
90.999	G	31	7	1
91.185	F	29	5	1
91.254	D	38	2	2
91.324	F#	42	6	2
91.580	F	41	5	2
91.719	C#	37	1	2
91.974	G	55	7	3
92.230	G#	56	8	3
92.415	A	57	9	3
92.508	G#	56	8	3
92.717	A	57	9	3
92.880	C#	49	1	3
93.391	C#	1	1	-1
93.507	C	36	0	2
93.553	G#	56	8	3
94.203	D#	99	3	7
94.250	G#	44	8	2
94.366	F	29	5	1
94.505	G	31	7	1
94.668	F#	30	6	1
94.993	F#	30	6	1
95.689	G	55	7	3
95.736	F#	54	6	3
95.922	G	55	7	3
96.131	F#	54	6	3
96.409	G#	56	8	3
96.525	A	57	9	3
96.549	G#	56	8	3
97.292	G#	56	8	3
99.498	F#	54	6	3
100.241	F	53	5	3
100.264	E	76	4	5
100.426	D#	27	3	1
100.751	F	29	5	1
101.007	G#	92	8	6
101.262	E	64	4	4
101.471	E	52	4	3
101.750	F#	102	6	7
101.773	G#	56	8	3
101.936	G#	56	8	3
102.214	A#	46	10	2
102.284	G	43	7	2
102.493	B	71	11	4
102.609	B	35	11	1
103.004	G#	56	8	3
103.259	F	29	5	1
103.282	E	64	4	4
103.468	E	64	4	4
103.654	G#	56	8	3
103.770	E	52	4	3
104.002	G#	92	8	6
104.583	E	52	4	3
104.768	A#	46	10	2
104.861	C	48	0	3
104.931	B	47	11	2
105.233	B	47	11	2
105.419	A#	46	10	2
105.511	C	48	0	3
105.604	B	47	11	2
105.883	E	64	4	4
106.046	G	43	7	2
106.255	B	47	11	2
106.510	B	47	11	2
106.742	B	47	11	2
106.905	A#	46	10	2
106.998	G	43	7	2
107.183	B	23	11	0
107.416	C	24	0	1
107.508	B	11	11	-1
107.764	A#	94	10	6
107.810	F#	42	6	2
107.950	F#	54	6	3
108.228	F#	54	6	3
108.484	F	41	5	2
108.507	F#	42	6	2
108.994	F#	54	6	3
109.250	B	47	11	2
109.505	C	48	0	3
109.621	B	47	11	2
109.738	F#	54	6	3
109.993	F	29	5	1
110.016	F#	78	6	5
110.481	G	43	7	2
110.759	A#	46	10	2
110.829	G#	56	8	3
111.247	B	47	11	2
111.502	F	65	5	4
111.525	F#	42	6	2
111.665	B	71	11	4
111.967	F	41	5	2
111.990	F#	42	6	2
112.292	F#	78	6	5
112.338	G#	44	8	2
112.617	F#	78	6	5
112.733	G#	56	8	3
112.988	A	45	9	2
113.035	G#	56	8	3
113.453	F	5	5	-1
113.546	D#	3	3	-1
113.755	E	52	4	3
113.847	G#	92	8	6
114.219	D#	39	3	2
114.498	G	55	7	3
114.544	F#	78	6	5
114.660	D#	51	3	3
114.985	G#	56	8	3
115.217	G#	56	8	3
115.310	F#	42	6	2
115.426	G	43	7	2
115.496	A#	58	10	3
115.728	A#	58	10	3
115.960	G#	44	8	2
116.262	A	33	9	1
116.448	F	17	5	0
116.587	G	43	7	2
116.750	G	43	7	2
116.912	D#	51	3	3
117.238	G#	56	8	3
117.493	A#	94	10	6
117.563	D#	39	3	2
117.981	D#	39	3	2
118.236	C	48	0	3
118.259	F#	42	6	2
118.399	F#	42	6	2
118.608	F#	66	6	4
118.747	F#	42	6	2
119.002	F	5	5	-1
119.095	F#	42	6	2
119.443	E	100	4	7
119.583	G	43	7	2
119.722	C#	49	1	3
119.885	C#	61	1	4
120.210	D	50	2	3
120.279	C#	73	1	5
120.488	C#	49	1	3
120.604	C#	37	1	2
120.721	C#	37	1	2
121.022	C#	37	1	2
121.255	F	41	5	2
121.278	F	41	5	2
121.417	G#	56	8	3
121.719	F	41	5	2
121.765	F#	42	6	2
121.951	F	29	5	1
121.998	G	43	7	2
122.091	G#	56	8	3
122.508	F#	30	6	1
122.741	F	41	5	2
122.810	F#	42	6	2
122.926	C#	49	1	3
123.135	C#	49	1	3
123.252	F#	54	6	3
123.507	C#	61	1	4
123.600	F#	30	6	1
123.902	G	43	7	2
124.250	E	76	4	5
124.296	E	76	4	5
124.598	E	76	4	5
124.738	E	52	4	3
124.970	F	41	5	2
124.993	E	40	4	2
125.504	E	40	4	2
125.759	A	45	9	2
125.806	F	41	5	2
125.968	G#	56	8	3
126.224	B	47	11	2
126.479	C	48	0	3
126.502	C	48	0	3
126.618	B	35	11	1
126.781	C	36	0	2
126.967	G#	56	8	3
127.245	C	24	0	1
127.338	F	29	5	1
127.478	E	64	4	4
127.756	F	41	5	2
127.803	F#	42	6	2
127.988	F	29	5	1
128.012	E	28	4	1
128.522	E	52	4	3
128.755	F#	42	6	2
128.894	C	48	0	3
128.964	B	47	11	2
129.242	B	47	11	2
129.498	F	41	5	2
129.521	F#	54	6	3
129.753	F	29	5	1
129.962	F	65	5	4
129.985	E	64	4	4
130.264	F#	66	6	4
130.450	B	47	11	2
130.775	B	47	11	2
131.007	F#	42	6	2
131.123	G	43	7	2
131.379	A#	10	10	-1
131.518	F	17	5	0
131.750	F#	66	6	4
131.843	F#	42	6	2
132.005	F#	42	6	2
132.214	F#	30	6	1
132.493	G	31	7	1
132.656	D#	63	3	4
132.981	G	43	7	2
133.259	B	47	11	2
133.538	G#	56	8	3
133.724	B	47	11	2
134.002	F	41	5	2
134.049	F#	54	6	3
134.490	C	48	0	3
134.513	E	100	4	7
134.745	F#	54	6	3
134.885	B	35	11	1
135.187	G	55	7	3
135.233	F#	54	6	3
135.488	G	55	7	3
135.558	C#	61	1	4
135.721	B	23	11	0
135.976	F	41	5	2
136.092	A#	94	10	6
136.255	G	43	7	2
136.510	F#	66	6	4
136.766	A	57	9	3
136.858	G	43	7	2
136.998	G#	44	8	2
137.114	G#	56	8	3
137.462	G#	56	8	3
137.741	F	53	5	3
137.764	G	43	7	2
137.927	G#	56	8	3
138.205	F	41	5	2
138.228	G	55	7	3
138.507	D#	51	3	3
138.971	G#	56	8	3
139.250	F	41	5	2
139.320	A	33	9	1
139.413	G#	68	8	4
139.714	F	29	5	1
139.761	G#	56	8	3
139.970	G	31	7	1
140.109	A#	58	10	3
140.458	A#	58	10	3
140.597	G#	56	8	3
140.759	F	53	5	3
140.783	D#	51	3	3
140.945	D	50	2	3
141.038	A#	58	10	3
141.247	A#	58	10	3
141.502	C#	61	1	4
141.735	D#	39	3	2
141.944	A#	46	10	2
142.269	C	48	0	3
142.338	F#	42	6	2
142.478	F	41	5	2
142.547	F#	42	6	2
142.756	G	43	7	2
142.965	G	67	7	4
142.988	G#	-4	8	-2
143.290	F#	78	6	5
143.406	F	5	5	-1
143.592	F#	42	6	2
143.732	C#	49	1	3
143.871	C#	37	1	2
143.987	C#	37	1	2
144.219	C#	37	1	2
144.475	C	60	0	4
144.498	C#	49	1	3
144.753	D	38	2	2
144.893	C#	37	1	2
145.009	C#	37	1	2
145.241	A#	46	10	2
145.310	F#	42	6	2
145.543	F#	42	6	2
145.682	F	41	5	2
145.961	G#	68	8	4
146.007	F#	30	6	1
146.750	C	48	0	3
146.820	G#	92	8	6
147.029	C#	49	1	3
147.238	C#	49	1	3
147.493	F#	30	6	1
147.725	A	57	9	3
147.841	A	57	9	3
147.888	F#	42	6	2
148.050	G	31	7	1
148.259	G#	44	8	2
148.376	F#	42	6	2
148.515	G#	56	8	3
149.002	C#	-23	1	-3
149.467	G#	56	8	3
149.769	F	41	5	2
149.862	D#	51	3	3
150.210	A#	94	10	6
150.489	G	43	7	2
150.558	G	43	7	2
150.860	G#	56	8	3
150.976	A	57	9	3
151.092	G#	56	8	3
151.255	D#	39	3	2
151.371	B	47	11	2
151.603	F	29	5	1
151.719	B	71	11	4
151.998	A#	58	10	3
152.764	C	48	0	3
152.857	A	57	9	3
153.066	A#	46	10	2
153.275	G#	56	8	3
153.368	G	55	7	3
153.507	G	55	7	3
153.577	G#	56	8	3
153.902	A	57	9	3
154.018	G	43	7	2
154.227	C	72	0	5
154.250	G#	44	8	2
154.436	G#	56	8	3
154.668	G	55	7	3
154.715	G	31	7	1
154.993	G#	56	8	3
155.597	B	107	11	7
155.736	F	53	5	3
155.759	D#	39	3	2
155.899	D#	63	3	4
156.201	F	29	5	1
156.224	D#	27	3	1
156.502	D	26	2	1
156.642	D#	27	3	1
156.874	A	57	9	3
156.920	A#	58	10	3
157.246	A#	94	10	6
157.269	F	29	5	1
157.594	A	69	9	4
157.733	G#	56	8	3
157.989	E	28	4	1
158.499	F	29	5	1
158.755	F	41	5	2
158.778	B	47	11	2
158.894	F#	54	6	3
159.219	F	29	5	1
159.242	B	47	11	2
159.498	F#	42	6	2
159.730	F	89	5	6
160.032	D#	63	3	4
160.264	F	41	5	2
160.311	G#	44	8	2
160.589	B	71	11	4
160.705	G#	56	8	3
160.821	A	33	9	1
161.007	G	31	7	1
161.286	G#	44	8	2
161.472	A#	94	10	6
161.727	D	50	2	3
161.820	D#	51	3	3
161.959	D#	51	3	3
162.191	G#	56	8	3
162.447	F	17	5	0
162.493	F#	42	6	2
162.633	D#	-9	3	-2
162.842	C#	61	1	4
163.120	D	26	2	1
163.260	C#	61	1	4
163.399	D	62	2	4
163.561	D	62	2	4
163.724	C#	61	1	4
163.886	C#	61	1	4
164.003	D#	27	3	1
164.235	C#	61	1	4
164.513	C#	61	1	4
164.746	B	47	11	2
164.955	B	47	11	2
165.233	G	55	7	3
165.373	A	57	9	3
165.489	F	29	5	1
165.535	G#	44	8	2
165.651	G#	56	8	3
165.767	B	47	11	2
166.046	G	43	7	2
166.185	F#	54	6	3
166.255	F	53	5	3
166.417	B	47	11	2
166.534	B	47	11	2
166.696	B	47	11	2
166.859	B	47	11	2
166.998	F	53	5	3
167.021	G	43	7	2
167.160	G	55	7	3
167.764	G	43	7	2
167.903	F#	42	6	2
168.205	F#	42	6	2
168.507	C#	61	1	4
168.716	C#	61	1	4
168.763	F	29	5	1
168.995	F#	30	6	1
169.250	F	41	5	2
169.366	F#	30	6	1
169.738	G#	56	8	3
169.993	C#	61	1	4
170.713	F	41	5	2
170.736	C#	49	1	3
170.969	C#	49	1	3
171.085	C#	49	1	3
171.247	C#	37	1	2
171.503	B	35	11	1
171.619	B	35	11	1
171.874	F#	54	6	3
171.967	F#	54	6	3
172.060	F#	54	6	3
172.292	G#	56	8	3
172.524	G	55	7	3
172.594	G#	56	8	3
172.919	G	55	7	3
172.989	G#	56	8	3
173.244	G#	56	8	3
173.476	G#	56	8	3
173.732	G	67	7	4
173.755	D#	51	3	3
173.964	D#	27	3	1
174.196	F	29	5	1
174.219	D#	39	3	2
174.498	G	43	7	2
174.986	G#	56	8	3
175.241	D	62	2	4
175.264	F	29	5	1
175.404	D#	27	3	1
175.729	G#	56	8	3
176.007	G	43	7	2
176.147	F#	54	6	3
176.356	F	53	5	3
176.495	F#	54	6	3
176.565	F#	54	6	3
176.750	C	72	0	5
176.774	F	41	5	2
176.890	B	47	11	2
177.191	B	47	11	2
177.308	B	47	11	2
177.493	G#	56	8	3
177.702	G#	56	8	3
177.958	F#	54	6	3
178.260	G#	68	8	4
178.306	G	43	7	2
178.492	C	60	0	4
178.608	G#	32	8	1
179.003	G#	56	8	3
179.467	G#	56	8	3
179.769	F	53	5	3
179.792	F#	42	6	2
180.001	D#	39	3	2
180.210	F#	54	6	3
180.326	G	55	7	3
180.489	F	41	5	2
180.605	G#	56	8	3
180.860	G#	56	8	3
181.000	G#	56	8	3
181.255	G	55	7	3
181.487	D#	39	3	2
181.603	G#	56	8	3
181.766	G#	56	8	3
181.998	G	55	7	3
182.346	B	47	11	2
182.509	G#	56	8	3
182.764	F#	42	6	2
182.927	F#	54	6	3
183.089	G#	56	8	3
183.252	B	47	11	2
183.484	C	48	0	3
183.507	B	35	11	1
183.972	G	43	7	2
184.250	F	41	5	2
184.320	G#	44	8	2
184.506	G#	32	8	1
184.761	G#	32	8	1
184.970	G	55	7	3
185.017	G#	56	8	3
185.272	G#	56	8	3
185.481	G#	56	8	3
185.760	D#	39	3	2
185.899	G#	56	8	3
186.085	A	57	9	3
186.224	D#	27	3	1
186.503	A	57	9	3
186.526	F#	42	6	2
186.967	G#	92	8	6
186.990	G#	56	8	3
187.246	D#	39	3	2
187.408	B	47	11	2
187.733	G	43	7	2
187.989	F	29	5	1
188.035	E	64	4	4
188.360	C#	61	1	4
188.523	C#	61	1	4
188.639	C#	61	1	4
188.755	C	48	0	3
188.848	B	47	11	2
189.103	B	47	11	2
189.336	G#	56	8	3
189.498	A	45	9	2
189.591	A	57	9	3
189.823	F#	54	6	3
190.032	G#	56	8	3
190.195	A#	34	10	1
190.264	B	47	11	2
190.450	B	47	11	2
190.682	C	48	0	3
190.798	A#	46	10	2
191.007	F	41	5	2
191.054	G	55	7	3
191.240	G	55	7	3
191.727	E	76	4	5
191.750	F#	42	6	2
192.493	F#	30	6	1
192.981	A#	94	10	6
193.236	A#	94	10	6
